name,class,year,week,weeks_since,show_count,current_overall_average,current_me_average,current_ve_average,current_m_average,current_v_average,last_show_overall_score,last_show_me_score,last_show_ve_score,last_show_m_score,last_show_v_score,overall score,me score,ve score,m score,v score,last_overall_jump,last_me_jump,last_ve_jump,last_m_jump,last_v_jump,last_2_overall_average,last_2_me_average,last_2_ve_average,last_2_m_average,last_2_v_average
Bingham HS,PSO,2014,5,2,2,76.35,27.8,33.0,15.55,0.0,77.25,27.4,33.25,16.6,0.0,72.4,24.8,31.2,16.4,0.0,1.8,-0.8,0.5,2.1,0.0,76.35,27.8,33.0,15.55,0.0
Bingham HS,PSO,2014,8,3,3,75.033,26.8,32.4,15.833,0.0,72.4,24.8,31.2,16.4,0.0,82.0,30.4,35.3,16.3,0.0,-4.85,-2.6,-2.05,-0.2,0.0,74.825,26.1,32.225,16.5,0.0
Bingham HS,PSO,2014,9,1,4,76.775,27.7,33.125,15.95,0.0,82.0,30.4,35.3,16.3,0.0,84.55,33.2,35.05,16.3,0.0,9.6,5.6,4.1,-0.1,0.0,77.2,27.6,33.25,16.35,0.0
Buena HS,PSO,2014,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.55,28.6,32.45,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buena HS,PSO,2014,5,3,1,76.55,28.6,32.45,15.5,0.0,76.55,28.6,32.45,15.5,0.0,78.85,30.8,32.05,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buena HS,PSO,2014,6,1,2,77.7,29.7,32.25,15.75,0.0,78.85,30.8,32.05,16.0,0.0,86.875,34.2,35.475,17.2,0.0,2.3,2.2,-0.4,0.5,0.0,77.7,29.7,32.25,15.75,0.0
Chino HS,PSO,2014,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.75,29.0,30.85,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chino HS,PSO,2014,4,2,1,74.75,29.0,30.85,14.9,0.0,74.75,29.0,30.85,14.9,0.0,80.15,34.0,32.05,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chino HS,PSO,2014,5,1,2,77.45,31.5,31.45,14.5,0.0,80.15,34.0,32.05,14.1,0.0,73.9,29.0,30.3,14.6,0.0,5.4,5.0,1.2,-0.8,0.0,77.45,31.5,31.45,14.5,0.0
Davis HS,PSO,2014,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.3,31.0,34.0,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis HS,PSO,2014,3,1,1,81.3,31.0,34.0,16.3,0.0,81.3,31.0,34.0,16.3,0.0,86.65,33.4,35.45,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis HS,PSO,2014,5,2,2,83.975,32.2,34.725,17.05,0.0,86.65,33.4,35.45,17.8,0.0,84.9,33.2,34.0,17.7,0.0,5.35,2.4,1.45,1.5,0.0,83.975,32.2,34.725,17.05,0.0
