name,class,year,week,weeks_since,show_count,current_overall_average,current_me_average,current_ve_average,current_m_average,current_v_average,last_show_overall_score,last_show_me_score,last_show_ve_score,last_show_m_score,last_show_v_score,overall score,me score,ve score,m score,v score,last_overall_jump,last_me_jump,last_ve_jump,last_m_jump,last_v_jump,last_2_overall_average,last_2_me_average,last_2_ve_average,last_2_m_average,last_2_v_average
Buffalo High School,PSA,2015,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.751,26.6,27.35,13.8,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buffalo High School,PSA,2015,5,2,1,67.751,26.6,27.35,13.8,-0.5,67.751,26.6,27.35,13.8,-0.5,74.8,29.6,30.1,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buffalo High School,PSA,2015,6,1,2,71.276,28.1,28.725,14.45,-0.25,74.8,29.6,30.1,15.1,0.0,69.951,28.8,26.95,14.2,0.0,7.049,3.0,2.75,1.3,0.5,71.276,28.1,28.725,14.45,-0.25
Burnsville High School,PSA,2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.35,29.8,28.85,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burnsville High School,PSA,2015,1,1,1,72.35,29.8,28.85,13.7,0.0,72.35,29.8,28.85,13.7,0.0,77.7,29.4,31.8,16.5,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burnsville High School,PSA,2015,3,2,2,75.025,29.6,30.325,15.1,-0.375,77.7,29.4,31.8,16.5,-0.75,77.8,31.2,30.3,16.3,0.0,5.35,-0.4,2.95,2.8,-0.75,75.025,29.6,30.325,15.1,-0.375
Burnsville High School,PSA,2015,4,1,3,75.95,30.133,30.317,15.5,-0.25,77.8,31.2,30.3,16.3,0.0,82.1,32.8,32.7,16.6,0.0,0.1,1.8,-1.5,-0.2,0.75,77.75,30.3,31.05,16.4,-0.375
Burnsville High School,PSA,2015,6,2,4,77.488,30.8,30.912,15.775,-0.188,82.1,32.8,32.7,16.6,0.0,79.35,32.1,30.15,17.1,-1.4,4.3,1.6,2.4,0.3,0.0,79.95,32.0,31.5,16.45,0.0
Cajon HS,PSA,2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.65,32.0,30.25,14.4,-5.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cajon HS,PSA,2015,2,2,1,76.65,32.0,30.25,14.4,-5.45,76.65,32.0,30.25,14.4,-5.45,73.376,30.4,29.375,13.6,-5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central Lafourche H.S.,PSA,2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.451,26.8,26.55,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central Lafourche H.S.,PSA,2015,4,4,1,64.451,26.8,26.55,11.1,0.0,64.451,26.8,26.55,11.1,0.0,75.55,30.2,32.05,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coatesville,PSA,2015,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.05,23.4,24.45,13.2,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coatesville,PSA,2015,4,2,1,61.05,23.4,24.45,13.2,-0.1,61.05,23.4,24.45,13.2,-0.1,72.651,29.0,29.35,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coatesville,PSA,2015,5,1,2,66.85,26.2,26.9,13.75,-0.05,72.651,29.0,29.35,14.3,0.0,71.451,29.0,29.65,12.8,-10.65,11.601,5.6,4.9,1.1,0.1,66.85,26.2,26.9,13.75,-0.05
Coatesville,PSA,2015,6,1,3,68.384,27.133,27.817,13.433,-3.583,71.451,29.0,29.65,12.8,-10.65,74.15,29.0,30.45,14.7,0.0,-1.2,0.0,0.3,-1.5,-10.65,72.051,29.0,29.5,13.55,-5.325
Coatesville,PSA,2015,8,2,4,69.826,27.6,28.475,13.75,-2.688,74.15,29.0,30.45,14.7,0.0,72.35,28.4,29.95,14.0,-0.8,2.699,0.0,0.8,1.9,10.65,72.8,29.0,30.05,13.75,-5.325
Copper Hills High School,PSA,2015,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5,23.6,29.9,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copper Hills High School,PSA,2015,8,2,1,67.5,23.6,29.9,14.0,0.0,67.5,23.6,29.9,14.0,0.0,68.501,27.0,28.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copper Hills High School,PSA,2015,11,3,2,68.0,25.3,28.95,13.75,0.0,68.501,27.0,28.0,13.5,0.0,78.95,30.6,33.45,14.9,0.0,1.001,3.4,-1.9,-0.5,0.0,68.0,25.3,28.95,13.75,0.0
Dassel-Cokato High School,PSA,2015,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.55,31.6,28.95,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dassel-Cokato High School,PSA,2015,6,3,1,76.55,31.6,28.95,16.0,0.0,76.55,31.6,28.95,16.0,0.0,78.1,29.4,32.3,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Destrehan H.S.,PSA,2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.9,31.2,30.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Destrehan H.S.,PSA,2015,4,4,1,74.9,31.2,30.0,13.7,0.0,74.9,31.2,30.0,13.7,0.0,81.95,33.0,34.05,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Destrehan H.S.,PSA,2015,7,3,2,78.425,32.1,32.025,14.3,0.0,81.95,33.0,34.05,14.9,0.0,86.4,35.0,34.7,16.7,0.0,7.05,1.8,4.05,1.2,0.0,78.425,32.1,32.025,14.3,0.0
Destrehan H.S.,PSA,2015,8,1,3,81.083,33.067,32.917,15.1,0.0,86.4,35.0,34.7,16.7,0.0,87.85,36.4,35.35,16.1,0.0,4.45,2.0,0.65,1.8,0.0,84.175,34.0,34.375,15.8,0.0
Downingtown,PSA,2015,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.9,33.0,28.5,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Downingtown,PSA,2015,4,2,1,76.9,33.0,28.5,15.4,0.0,76.9,33.0,28.5,15.4,0.0,79.5,30.8,33.1,15.6,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Downingtown,PSA,2015,8,4,2,78.2,31.9,30.8,15.5,-0.05,79.5,30.8,33.1,15.6,-0.1,86.8,36.8,35.05,14.95,0.0,2.6,-2.2,4.6,0.2,-0.1,78.2,31.9,30.8,15.5,-0.05
East Central H.S.,PSA,2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.55,27.6,27.35,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Central H.S.,PSA,2015,5,5,1,67.55,27.6,27.35,12.6,0.0,67.55,27.6,27.35,12.6,0.0,76.65,31.8,29.65,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Central H.S.,PSA,2015,7,2,2,72.1,29.7,28.5,13.9,0.0,76.65,31.8,29.65,15.2,0.0,79.7,33.2,30.4,16.1,0.0,9.1,4.2,2.3,2.6,0.0,72.1,29.7,28.5,13.9,0.0
East Central H.S.,PSA,2015,8,1,3,74.633,30.867,29.133,14.633,0.0,79.7,33.2,30.4,16.1,0.0,79.551,33.2,32.55,13.8,0.0,3.05,1.4,0.75,0.9,0.0,78.175,32.5,30.025,15.65,0.0
Forest Lake High School,PSA,2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.65,28.2,30.05,12.4,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forest Lake High School,PSA,2015,1,1,1,70.65,28.2,30.05,12.4,-1.25,70.65,28.2,30.05,12.4,-1.25,76.0,29.0,30.8,16.2,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forest Lake High School,PSA,2015,3,2,2,73.325,28.6,30.425,14.3,-1.375,76.0,29.0,30.8,16.2,-1.5,76.5,30.6,30.5,15.4,-1.6,5.35,0.8,0.75,3.8,-0.25,73.325,28.6,30.425,14.3,-1.375
Forest Lake High School,PSA,2015,6,3,3,74.383,29.267,30.45,14.667,-1.45,76.5,30.6,30.5,15.4,-1.6,73.05,30.2,28.25,14.6,0.0,0.5,1.6,-0.3,-0.8,-0.1,76.25,29.8,30.65,15.8,-1.55
Gulfport H.S.,PSA,2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.05,27.4,26.95,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gulfport H.S.,PSA,2015,4,4,1,66.05,27.4,26.95,11.7,0.0,66.05,27.4,26.95,11.7,0.0,74.85,29.6,31.25,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gulfport H.S.,PSA,2015,7,3,2,70.45,28.5,29.1,12.85,0.0,74.85,29.6,31.25,14.0,0.0,76.7,30.6,31.1,15.0,0.0,8.8,2.2,4.3,2.3,0.0,70.45,28.5,29.1,12.85,0.0
Gulfport H.S.,PSA,2015,8,1,3,72.533,29.2,29.767,13.567,0.0,76.7,30.6,31.1,15.0,0.0,82.2,33.0,33.7,15.5,0.0,1.85,1.0,-0.15,1.0,0.0,75.775,30.1,31.175,14.5,0.0
Highland,PSA,2015,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.501,26.4,25.4,12.7,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Highland,PSA,2015,5,3,1,64.501,26.4,25.4,12.7,-0.9,64.501,26.4,25.4,12.7,-0.9,75.55,29.6,31.65,14.3,-1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Highland,PSA,2015,6,1,2,70.026,28.0,28.525,13.5,-1.25,75.55,29.6,31.65,14.3,-1.6,79.601,32.0,31.9,15.7,0.0,11.049,3.2,6.25,1.6,-0.7,70.026,28.0,28.525,13.5,-1.25
Highland,PSA,2015,8,2,3,73.217,29.333,29.65,14.233,-0.833,79.601,32.0,31.9,15.7,0.0,77.801,30.8,30.5,16.5,0.0,4.051,2.4,0.25,1.4,1.6,77.576,30.8,31.775,15.0,-0.8
Jennings H.S.,PSA,2015,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.601,28.2,29.5,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jennings H.S.,PSA,2015,8,1,1,72.601,28.2,29.5,14.9,0.0,72.601,28.2,29.5,14.9,0.0,77.651,31.2,32.15,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laguna Hills HS,PSA,2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.55,26.2,29.55,13.8,-8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laguna Hills HS,PSA,2015,2,2,1,69.55,26.2,29.55,13.8,-8.5,69.55,26.2,29.55,13.8,-8.5,68.5,27.4,26.7,14.4,-5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long Beach H.S.,PSA,2015,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.65,29.2,30.05,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long Beach H.S.,PSA,2015,8,1,1,73.65,29.2,30.05,14.4,0.0,73.65,29.2,30.05,14.4,0.0,80.501,32.2,33.6,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Methacton,PSA,2015,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.701,31.4,25.8,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Methacton,PSA,2015,4,2,1,71.701,31.4,25.8,14.5,0.0,71.701,31.4,25.8,14.5,0.0,78.65,30.6,32.65,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Methacton,PSA,2015,6,2,2,75.176,31.0,29.225,14.95,0.0,78.65,30.6,32.65,15.4,0.0,78.626,31.3,30.925,16.4,0.0,6.949,-0.8,6.85,0.9,0.0,75.176,31.0,29.225,14.95,0.0
Methacton,PSA,2015,8,2,3,76.326,31.1,29.792,15.433,0.0,78.626,31.3,30.925,16.4,0.0,83.301,33.8,33.4,16.1,0.0,-0.024,0.7,-1.725,1.0,0.0,78.638,30.95,31.788,15.9,0.0
North Penn,PSA,2015,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.15,33.6,32.85,16.7,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Penn,PSA,2015,8,3,1,83.15,33.6,32.85,16.7,-0.2,83.15,33.6,32.85,16.7,-0.2,84.251,35.8,32.25,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ogden HS,PSA,2015,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.8,25.6,27.1,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ogden HS,PSA,2015,6,1,1,67.8,25.6,27.1,15.1,0.0,67.8,25.6,27.1,15.1,0.0,69.35,25.0,29.45,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ogden HS,PSA,2015,8,2,2,68.575,25.3,28.275,15.0,0.0,69.35,25.0,29.45,14.9,0.0,75.15,28.2,31.75,15.2,0.0,1.55,-0.6,2.35,-0.2,0.0,68.575,25.3,28.275,15.0,0.0
Ogden HS,PSA,2015,11,3,3,70.767,26.267,29.433,15.067,0.0,75.15,28.2,31.75,15.2,0.0,78.95,30.2,34.15,14.6,0.0,5.8,3.2,2.3,0.3,0.0,72.25,26.6,30.6,15.05,0.0
Payson HS,PSA,2015,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.9,26.2,27.5,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Payson HS,PSA,2015,3,1,1,66.9,26.2,27.5,13.2,0.0,66.9,26.2,27.5,13.2,0.0,69.65,26.8,29.55,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Payson HS,PSA,2015,5,2,2,68.275,26.5,28.525,13.25,0.0,69.65,26.8,29.55,13.3,0.0,67.55,24.2,28.75,14.6,0.0,2.75,0.6,2.05,0.1,0.0,68.275,26.5,28.525,13.25,0.0
Payson HS,PSA,2015,6,1,3,68.033,25.733,28.6,13.7,0.0,67.55,24.2,28.75,14.6,0.0,61.7,22.4,25.7,13.6,0.0,-2.1,-2.6,-0.8,1.3,0.0,68.6,25.5,29.15,13.95,0.0
Payson HS,PSA,2015,8,2,4,66.45,24.9,27.875,13.675,0.0,61.7,22.4,25.7,13.6,0.0,68.55,25.6,29.75,13.2,0.0,-5.85,-1.8,-3.05,-1.0,0.0,64.625,23.3,27.225,14.1,0.0
Payson HS,PSA,2015,11,3,5,66.87,25.04,28.25,13.58,0.0,68.55,25.6,29.75,13.2,0.0,74.151,28.4,30.95,14.8,0.0,6.85,3.2,4.05,-0.4,0.0,65.125,24.0,27.725,13.4,0.0
Perkiomen Valley,PSA,2015,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.95,33.4,28.15,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perkiomen Valley,PSA,2015,5,3,1,75.95,33.4,28.15,14.4,0.0,75.95,33.4,28.15,14.4,0.0,84.1,32.6,33.9,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perkiomen Valley,PSA,2015,6,1,2,80.025,33.0,31.025,16.0,0.0,84.1,32.6,33.9,17.6,0.0,88.35,33.6,36.15,18.6,0.0,8.15,-0.8,5.75,3.2,0.0,80.025,33.0,31.025,16.0,0.0
Perkiomen Valley,PSA,2015,8,2,3,82.8,33.2,32.733,16.867,0.0,88.35,33.6,36.15,18.6,0.0,87.15,34.0,35.95,17.2,0.0,4.25,1.0,2.25,1.0,0.0,86.225,33.1,35.025,18.1,0.0
Pleasant Grove HS,PSA,2015,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.3,27.0,32.5,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pleasant Grove HS,PSA,2015,3,1,1,72.3,27.0,32.5,12.8,0.0,72.3,27.0,32.5,12.8,0.0,73.75,28.4,31.05,14.3,-3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pleasant Grove HS,PSA,2015,5,2,2,73.025,27.7,31.775,13.55,-1.875,73.75,28.4,31.05,14.3,-3.75,75.35,29.6,30.15,15.6,0.0,1.45,1.4,-1.45,1.5,-3.75,73.025,27.7,31.775,13.55,-1.875
Pleasant Grove HS,PSA,2015,8,3,3,73.8,28.333,31.233,14.233,-1.25,75.35,29.6,30.15,15.6,0.0,77.4,30.4,33.0,14.0,0.0,1.6,1.2,-0.9,1.3,3.75,74.55,29.0,30.6,14.95,-1.875
Pleasant Grove HS,PSA,2015,11,3,4,74.7,28.85,31.675,14.175,-0.938,77.4,30.4,33.0,14.0,0.0,85.25,33.8,36.25,15.2,0.0,2.05,0.8,2.85,-1.6,0.0,76.375,30.0,31.575,14.8,0.0
Rochester Lourdes,PSA,2015,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.3,28.4,29.6,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rochester Lourdes,PSA,2015,4,1,1,71.3,28.4,29.6,13.3,0.0,71.3,28.4,29.6,13.3,0.0,78.5,32.8,30.3,15.4,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rochester Lourdes,PSA,2015,6,2,2,74.9,30.6,29.95,14.35,-1.0,78.5,32.8,30.3,15.4,-2.0,82.15,33.6,32.05,16.5,0.0,7.2,4.4,0.7,2.1,-2.0,74.9,30.6,29.95,14.35,-1.0
Roy HS,PSA,2015,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.05,29.0,30.0,14.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roy HS,PSA,2015,3,1,1,73.05,29.0,30.0,14.05,0.0,73.05,29.0,30.0,14.05,0.0,74.125,29.4,29.925,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roy HS,PSA,2015,5,2,2,73.588,29.2,29.962,14.425,0.0,74.125,29.4,29.925,14.8,0.0,68.05,25.2,28.45,14.4,-0.1,1.075,0.4,-0.075,0.75,0.0,73.588,29.2,29.962,14.425,0.0
Roy HS,PSA,2015,6,1,3,71.742,27.867,29.458,14.417,-0.033,68.05,25.2,28.45,14.4,-0.1,70.1,25.6,29.1,15.4,0.0,-6.075,-4.2,-1.475,-0.4,-0.1,71.088,27.3,29.188,14.6,-0.05
Roy HS,PSA,2015,8,2,4,71.331,27.3,29.369,14.662,-0.025,70.1,25.6,29.1,15.4,0.0,73.1,28.0,30.4,14.7,0.0,2.05,0.4,0.65,1.0,0.1,69.075,25.4,28.775,14.9,-0.05
Roy HS,PSA,2015,11,3,5,71.685,27.44,29.575,14.67,-0.02,73.1,28.0,30.4,14.7,0.0,80.3,30.8,34.5,15.0,0.0,3.0,2.4,1.3,-0.7,0.0,71.6,26.8,29.75,15.05,0.0
Sauk Rapids High School,PSA,2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.75,28.4,27.25,12.1,-2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sauk Rapids High School,PSA,2015,1,1,1,67.75,28.4,27.25,12.1,-2.25,67.75,28.4,27.25,12.1,-2.25,70.35,25.9,30.25,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sauk Rapids High School,PSA,2015,3,2,2,69.05,27.15,28.75,13.15,-1.125,70.35,25.9,30.25,14.2,0.0,73.7,29.5,29.6,14.6,0.0,2.6,-2.5,3.0,2.1,2.25,69.05,27.15,28.75,13.15,-1.125
Sauk Rapids High School,PSA,2015,6,3,3,70.6,27.933,29.033,13.633,-0.75,73.7,29.5,29.6,14.6,0.0,76.3,31.9,29.2,15.2,0.0,3.35,3.6,-0.65,0.4,0.0,72.025,27.7,29.925,14.4,0.0
South Brunswick,PSA,2015,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.5,33.8,28.1,15.6,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Brunswick,PSA,2015,6,4,1,77.5,33.8,28.1,15.6,-3.0,77.5,33.8,28.1,15.6,-3.0,83.45,32.4,33.25,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Brunswick,PSA,2015,8,2,2,80.475,33.1,30.675,16.7,-1.5,83.45,32.4,33.25,17.8,0.0,85.7,34.4,34.2,17.1,0.0,5.95,-1.4,5.15,2.2,3.0,80.475,33.1,30.675,16.7,-1.5
South Lafourche H.S.,PSA,2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.8,27.8,28.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Lafourche H.S.,PSA,2015,4,4,1,70.8,27.8,28.0,15.0,0.0,70.8,27.8,28.0,15.0,0.0,74.051,29.4,30.85,13.8,-4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Lafourche H.S.,PSA,2015,5,1,2,72.426,28.6,29.425,14.4,-2.15,74.051,29.4,30.85,13.8,-4.3,77.95,33.0,29.25,15.7,0.0,3.251,1.6,2.85,-1.2,-4.3,72.426,28.6,29.425,14.4,-2.15
South Lafourche H.S.,PSA,2015,8,3,3,74.267,30.067,29.367,14.833,-1.433,77.95,33.0,29.25,15.7,0.0,82.15,34.4,32.95,14.8,0.0,3.899,3.6,-1.6,1.9,4.3,76.0,31.2,30.05,14.75,-2.15
South St. Paul High School,PSA,2015,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.65,26.4,29.15,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South St. Paul High School,PSA,2015,3,2,1,68.65,26.4,29.15,13.1,0.0,68.65,26.4,29.15,13.1,0.0,69.951,29.2,26.05,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South St. Paul High School,PSA,2015,6,3,2,69.3,27.8,27.6,13.9,0.0,69.951,29.2,26.05,14.7,0.0,77.45,31.8,30.15,15.5,0.0,1.301,2.8,-3.1,1.6,0.0,69.3,27.8,27.6,13.9,0.0
Southern Regional,PSA,2015,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.551,29.2,27.55,14.8,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southern Regional,PSA,2015,5,3,1,71.551,29.2,27.55,14.8,-1.3,71.551,29.2,27.55,14.8,-1.3,80.2,31.4,33.2,15.6,-0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southern Regional,PSA,2015,6,1,2,75.876,30.3,30.375,15.2,-1.075,80.2,31.4,33.2,15.6,-0.85,83.1,32.9,32.7,17.5,0.0,8.649,2.2,5.65,0.8,0.45,75.876,30.3,30.375,15.2,-1.075
Southern Regional,PSA,2015,8,2,3,78.284,31.167,31.15,15.967,-0.717,83.1,32.9,32.7,17.5,0.0,90.1,36.4,35.9,17.8,0.0,2.9,1.5,-0.5,1.9,0.85,81.65,32.15,32.95,16.55,-0.425
Temescal Canyon HS,PSA,2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.401,32.4,29.4,13.6,-3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Temescal Canyon HS,PSA,2015,1,1,1,75.401,32.4,29.4,13.6,-3.35,75.401,32.4,29.4,13.6,-3.35,71.901,29.1,28.6,14.2,-3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Temple City HS,PSA,2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.526,31.2,28.825,15.5,-4.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Temple City HS,PSA,2015,2,2,1,75.526,31.2,28.825,15.5,-4.45,75.526,31.2,28.825,15.5,-4.45,73.101,29.6,28.3,15.2,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thousand Oaks HS,PSA,2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.3,28.4,31.0,14.9,-2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thousand Oaks HS,PSA,2015,1,1,1,74.3,28.4,31.0,14.9,-2.8,74.3,28.4,31.0,14.9,-2.8,70.875,29.9,29.075,11.9,-1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unionville,PSA,2015,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.5,30.6,26.7,15.2,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unionville,PSA,2015,4,2,1,72.5,30.6,26.7,15.2,-0.7,72.5,30.6,26.7,15.2,-0.7,75.401,30.0,30.7,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unionville,PSA,2015,5,1,2,73.95,30.3,28.7,14.95,-0.35,75.401,30.0,30.7,14.7,0.0,77.35,30.8,31.25,15.3,0.0,2.901,-0.6,4.0,-0.5,0.7,73.95,30.3,28.7,14.95,-0.35
