name,class,year,shows,first week,final week,first score,final score,avg overall increase,avg me increase,avg ve increase,avg m increase,avg v increase
Great Oak HS,PSO,2024,2,1,5,80.775,89.225,4.225,1.125,0.825,1.7,0.575
Kamiak HS,PSO,2024,2,4,5,87.25,90.925,1.837,0.562,0.475,0.6,0.2
Keller HS,PSO,2024,2,2,4,77.8,78.9,0.55,0.45,-0.25,-0.2,0.55
Old Bridge HS,PSO,2024,3,1,9,81.4,92.838,3.938,1.163,0.525,1.4,0.85
Pflugerville HS,PSO,2024,2,2,4,74.0,83.9,4.95,1.5,1.15,1.95,0.35
Victor J. Andrew HS,PSO,2024,3,0,9,81.7,97.563,2.125,0.75,0.25,0.675,0.45
Arbor View HS,PSA,2024,2,2,5,81.3,84.725,1.712,0.712,0.125,0.675,0.2
Bloomington HS (CA),PSA,2024,2,1,5,66.001,69.6,1.799,1.05,-0.15,0.65,0.25
Bridgewater Raritan HS,PSA,2024,2,1,5,75.451,84.201,4.375,1.35,0.175,1.6,1.25
Dobyns-Bennett HS,PSA,2024,2,0,2,79.75,81.0,0.625,0.375,0.5,-0.65,0.4
E.D. White Catholic HS,PSA,2024,2,2,4,81.15,86.9,2.875,2.4,0.65,-1.175,1.0
Everett HS,PSA,2024,3,1,9,79.2,89.238,4.387,1.35,0.488,1.35,1.2
Gilbert HS,PSA,2024,2,2,5,75.351,81.701,3.175,1.2,0.325,1.05,0.6
Green Level HS,PSA,2024,2,3,5,75.951,79.15,1.6,1.275,0.2,0.425,-0.3
Halls HS,PSA,2024,2,0,2,76.9,79.001,1.05,1.35,-0.05,-0.35,0.1
Lincoln-Way Community Schools,PSA,2024,3,0,9,71.95,76.575,0.25,-0.45,-0.2,0.7,0.2
Los Alamitos HS,PSA,2024,2,1,5,81.35,88.2,3.425,1.275,1.0,0.75,0.4
Nutley HS,PSA,2024,2,1,5,75.101,86.488,5.694,1.744,1.4,1.0,1.55
Orange HS,PSA,2024,2,1,5,71.101,72.55,0.724,-0.375,0.05,1.1,-0.05
Spring-Ford HS,PSA,2024,3,1,9,84.45,93.3,3.244,0.581,0.6,1.45,0.612
Warren Central HS (MS),PSA,2024,2,3,4,79.65,81.751,1.05,0.3,0.25,-0.3,0.8
Weatherford HS,PSA,2024,2,2,4,76.7,80.176,1.738,0.938,0.1,0.45,0.25
West Milford HS,PSA,2024,2,1,5,78.326,81.95,1.812,0.862,0.65,0.05,0.25
Westhill HS,PSA,2024,2,1,5,78.201,83.451,2.625,1.275,0.05,0.5,0.8
Williams Field HS,PSA,2024,2,2,5,80.075,84.775,2.35,0.9,-0.025,1.05,0.425
Broken City,PIW,2024,3,1,9,90.0,96.263,1.425,0.525,0.35,0.375,0.175
Cap City,PIW,2024,3,0,9,76.8,89.251,3.725,1.125,1.1,0.95,0.55
Dark Sky Percussion,PIW,2024,3,1,9,83.175,86.801,0.901,0.15,0.175,0.425,0.15
Flux Indoor Percussion,PIW,2024,3,2,9,83.7,85.789,1.526,0.6,0.55,0.275,0.1
George Mason University,PIW,2024,3,3,9,86.25,90.776,0.688,0.037,0.35,0.2,0.1
POW Percussion,PIW,2024,3,1,9,84.925,91.45,2.4,1.125,0.325,0.75,0.2
Pulse Percussion,PIW,2024,3,1,9,92.4,98.5,1.45,0.525,0.25,0.35,0.325
Rhythmic Force Percussion,PIW,2024,3,2,9,82.9,87.714,1.6,0.6,0.35,0.25,0.4
United Percussion,PIW,2024,3,1,9,86.45,93.701,1.887,0.412,0.775,0.125,0.575
Breakthrough Indoor Percussion,PIO,2024,3,2,9,83.2,91.513,1.337,0.338,0.175,0.2,0.625
Cap City 2,PIO,2024,3,0,9,81.75,93.95,0.675,0.375,-0.1,0.3,0.1
Elan Percussion,PIO,2024,3,1,9,78.7,86.651,1.588,0.113,0.125,1.0,0.35
Meraki,PIO,2024,3,1,9,84.2,98.488,4.938,1.388,1.05,2.025,0.475
Spartans Indoor Percussion,PIO,2024,3,1,9,75.65,87.701,4.85,0.9,1.15,1.05,1.75
United Percussion 2,PIO,2024,3,1,9,73.1,90.225,6.75,2.1,1.475,1.975,1.2
Cornerstone Percussion,PIA,2024,2,1,5,71.7,80.8,4.55,1.65,1.1,1.2,0.6
Horizon Percussion,PIA,2024,2,3,5,76.7,82.45,2.875,0.825,0.7,1.2,0.15
Bridgeland HS,PSW,2025,3,2,8,87.05,97.163,1.35,0.15,-0.1,0.35,0.95
