year,month,day,class,name,overall score,music effect,visual effect,music,visual
2023,March,25,SW,Camp Hill HS Guard,82.81,15.14,16.27,16.4,17.8
2023,March,25,SW,Cedar Crest HS Guard,81.88,16.01,15.87,16.0,17.2
2023,March,25,SW,Waynesboro HS Guard,77.72,15.48,15.54,15.5,15.6
2023,March,25,SW,Spring Grove HS Guard,77.15,14.48,14.67,15.4,16.6
2023,March,25,SW,Susquehannock HS Guard,76.281,15.47,14.61,15.8,15.4
2023,March,25,SW,East Pennsboro HS Guard,75.751,14.01,14.34,15.0,16.2
2026,March,21,SN,Mechanicsburg MS Guard,75.15,15.34,14.21,15.7,15.4
2026,March,21,SN,Halifax HS Color Guard,73.08,14.94,13.74,14.9,14.5
2022,April,2,GHSSRAB,Fresno Christian HS Guard,61.53,127.4,129.4,10.75,12.8
2022,April,2,GHSSRAB,Reedley HS Guard,61.36,129.4,140.7,10.95,11.8
2022,April,2,GHSSRAB,Liberty High School Winterguard,59.64,118.7,122.7,11.7,12.0
2022,April,2,GHSSRAB,Edison HS Guard,58.41,121.4,120.7,11.2,11.6
2022,April,2,GHSSRAB,Roosevelt HS Guard,57.956,120.05,121.5,10.4,11.4
2022,April,2,GHSSRAB,Mt Whitney HS Guard,56.611,123.4,124.7,10.6,11.0
2022,April,2,GHSSRAB,Firebaugh High School Winter Guard,53.861,102.8,112.8,11.0,10.8
2022,April,2,GHSSRAB,Firebaugh,53.861,102.8,112.8,11.0,10.8
2017,February,25,PSA,East Syracuse Minoa,79.95,24.5,24.15,15.7,15.6
2017,February,25,PSA,Phoenix Indoor Percussion,69.45,21.5,19.65,13.8,14.5
2017,February,25,PSA,Central Square High School,68.75,21.2,20.25,13.3,14.0
2017,February,25,PSA,Liverpool Indoor Percussion,63.85,20.3,18.75,11.6,13.2
2018,March,17,PSA,Centaurus HS,81.95,24.75,16.7,23.9,16.6
2018,March,17,PSA,Longmont HS,81.85,25.05,17.1,22.4,17.3
2018,March,17,PSA,Monarch HS,81.1,24.9,16.2,22.2,17.8
2018,March,17,PSA,Sand Creek HS,66.3,21.3,13.2,18.8,13.0
2018,March,17,PIO,Rise Percussion,84.75,24.9,17.0,25.95,16.9
2018,March,17,PIO,Black Diamond Percussion,76.05,21.75,15.8,22.7,15.8
2018,March,17,PIW,Blue Knights,77.0,22.5,15.3,23.6,15.6
2019,March,16,GHSSRAB,Mt Whitney HS Guard,62.05,13.08,11.47,12.1,12.4
2019,March,16,GHSSRAB,Monache HS Junior Varsity Guard,58.28,11.47,11.41,12.0,12.0
2019,March,16,GHSSRAB,Tulare Western HS JV Guard,57.56,12.68,10.48,11.0,11.6
2019,March,16,GHSSRAB,Mendota HS Guard,57.01,11.67,11.14,10.6,11.3
2019,March,16,GHSSRAB,Orosi HS B Guard,54.891,11.14,10.15,11.6,10.0
2024,February,17,PHSSRA,Torres HS Percussion,77.8,23.0,23.7,16.2,14.9
2024,February,17,PHSSRA,Sierra Pacific HS Percussion,71.0,20.4,22.2,14.6,13.8
2024,February,17,PHSSRA,Orosi Indoor Percussion,70.4,21.0,21.6,14.7,13.1
2024,February,17,PHSSRA,Firebaugh HS Percussion,67.4,19.5,21.3,14.1,12.5
2024,February,17,PHSSRA,Madera South HS Percussion,61.651,17.0,19.35,13.3,12.0
2024,February,17,PHSSRA,Exeter Union HS Percussion,61.601,16.7,18.9,12.7,13.3
2024,February,17,PHSSRA,Hanford HS Percussion,60.601,17.8,18.0,12.1,12.7
2024,February,17,PHSSRA,Fresno HS Winter Percussion,58.201,15.3,18.3,12.4,12.2
2024,February,17,PHSSRA,Woodlake HS Percussion,55.701,16.4,16.5,11.5,11.3
2024,February,17,PHSSRA,Tulare Western HS Percussion,54.6,15.8,17.1,11.3,10.4
2023,February,4,PSJ,Canyon Hills JHS,63.6,19.5,11.4,20.4,12.3
2023,February,4,PSA,La Canada HS,76.2,23.7,14.0,24.1,14.4
2023,February,4,PSA,Arcadia HS,74.3,23.1,13.2,23.2,14.8
2023,February,4,PSA,Bonita HS,71.425,21.825,12.6,23.1,13.9
2023,February,4,PSA,South Pasadena HS,69.451,21.45,12.9,22.8,12.3
2023,February,4,PSA,St. Genevieve HS,68.076,21.675,12.2,20.9,13.3
2023,February,4,PSA,Torrance HS,68.401,22.2,11.3,21.8,13.1
2023,February,4,PSA,San Marino HS,65.0,20.7,10.5,21.2,12.6
2023,February,4,PIA,Impulse,71.7,21.9,12.7,22.9,14.2
2023,February,4,PSW,Arcadia HS,80.925,25.125,15.6,24.4,15.8
2023,February,4,PIW,Pulse Percussion,85.625,25.425,16.9,27.0,16.3
2023,February,4,PIW,RCC,83.5,25.5,16.3,25.1,16.6
2023,February,4,PIW,POW Percussion,80.15,24.75,16.0,24.2,15.2
2023,March,26,PIA,Cornell University,69.05,22.5,20.85,13.0,12.7
2019,March,9,PIA-C,EPIC Cadets,83.95,25.0,27.15,16.0,15.8
2024,March,16,GJHSA,Pioneer MS Winterguard,65.18,134.8,140.0,12.3,12.7
2024,March,16,GJHSA,Desmond Middle School Winterguard,62.64,126.7,128.7,11.9,12.6
2024,March,16,GJHSA,La Joya MS Winterguard,58.15,120.1,123.4,12.2,10.8
2024,March,16,GJHSA,Wilson MS Winterguard,57.55,129.4,128.1,10.8,10.5
2024,March,16,GJHSA,Sequoia MS Winterguard (Porterville),57.17,122.3,119.4,10.6,11.2
2024,March,16,GJHSA,Green Acres MS Winterguard,53.661,105.5,116.1,11.3,10.1
2024,March,16,GJHSA,Cherry Ave MS Winterguard,53.731,110.5,110.8,10.2,10.7
2024,March,16,GJHSA,Laton Middle School,51.731,101.5,102.8,10.1,10.6
2024,March,16,GJHSA,Divisadero MS Winterguard,49.891,99.5,97.4,11.0,9.6
2024,January,20,SRA,Spring Grove HS Guard,54.67,8.0,11.67,11.8,11.7
2024,January,20,SRA,Central Dauphin HS Guard,51.72,7.55,11.47,10.4,11.5
2024,January,20,SRA,Waynesboro HS Guard,51.68,8.01,11.87,10.5,11.0
2024,January,20,SRA,Eastern York HS Guard,51.28,7.21,11.27,10.6,11.2
2024,January,20,SRA,East Pennsboro HS Guard,50.59,7.02,12.07,10.9,10.2
2018,April,7,GHSSA,Lemoore HS A Guard,84.42,17.61,16.81,16.1,17.2
2018,April,7,GHSSA,Sierra Pacific HS Guard,78.55,15.88,15.47,15.6,15.8
2018,April,7,GHSSA,El Diamante HS Guard,73.19,14.28,14.01,14.3,15.2
2025,March,1,GHSSRA,Fresno Christian HS Winterguard,68.92,13.78,13.64,15.0,13.0
2025,March,1,GHSSRA,Justin Garza Winter Guard,65.52,14.0,14.12,14.4,11.6
2025,March,1,GHSSRA,Washington Union HS Winterguard,65.38,14.32,13.86,14.6,11.4
2025,March,29,SN,Frederick HS Guard,82.81,16.74,17.47,15.3,16.6
2025,March,29,SN,Northeastern MS Guard,81.71,16.14,17.87,16.2,15.5
2025,March,29,SN,La Plata HS Winterguard,79.98,17.14,16.14,14.7,15.7
2025,March,29,SN,Mechanicsburg MS Guard,79.15,16.34,16.11,14.9,15.3
2025,March,29,SN,Hempfield HS JV Guard,78.686,16.54,15.845,14.8,16.1
2025,March,29,SN,Generals Winterguard (Stonewall Jackson HS),77.481,16.94,16.34,14.3,14.7
2025,March,29,SN,Seneca Valley HS Guard,77.481,15.94,15.94,15.2,14.2
2025,March,29,SN,Cumberland Valley JV Guard,75.811,15.48,15.48,14.0,15.0
2025,March,29,SN,Severn Run HS,75.431,15.54,15.54,14.5,14.6
2025,March,29,SN,Halifax HS Color Guard,72.81,15.6,15.21,13.4,14.0
2022,March,5,GHSSRAB,Roosevelt HS Guard,54.65,139.0,10.3,9.4,8.7
2022,March,5,GHSSRAB,Liberty High School Winterguard,51.28,126.1,9.7,9.1,8.4
2022,March,5,GHSSRAB,Edison HS Guard,48.64,120.7,9.8,8.0,8.1
2022,March,5,GHSSRAB,Mt Whitney HS Guard,45.15,108.3,8.2,8.2,7.9
2022,March,5,GHSSRAB,Firebaugh High School Winter Guard,43.63,108.9,7.4,7.8,7.6
2022,March,5,GHSSRAB,Firebaugh,43.63,108.9,7.4,7.8,7.6
2026,February,21,PHSSRA,Mt Whitney HS Percussion,73.3,22.0,22.5,14.4,14.4
2026,February,21,PHSSRA,Fresno HS Percussion,68.9,20.7,21.3,12.7,14.2
2026,February,21,PHSSRA,Firebaugh HS Percussion,66.45,21.2,18.75,13.8,12.7
2026,February,21,PHSSRA,Central HS Percussion,66.3,20.1,19.8,14.0,12.4
2026,February,21,PHSSRA,Hanford HS Percussion,65.15,21.1,19.35,13.4,11.3
2019,February,9,PJHSA,Glacier Point Middle School,64.85,20.6,19.95,13.6,10.7
2019,February,9,PJHSA,Pixley MS Percussion,55.2,18.3,17.7,10.0,9.2
2024,February,10,SDS,Clarksburg HS Blue Essence,63.25,16.25,15.375,16.0,15.625
2015,March,21,PIA(,Onondaga Communuty College,86.8,34.0,35.3,17.5,0.0
2015,March,21,PIA(,Midlakes Independent,82.9,33.2,32.8,16.9,0.0
2015,March,21,PIA(,Dundee Indoor Percussion,76.4,29.4,30.8,16.2,0.0
2019,March,16,PSJ,Alvarado IS,85.85,25.95,15.6,27.2,17.1
2019,March,16,PSJ,Townsend JHS,84.55,25.65,16.0,25.7,17.2
2019,March,16,PSJ,Canyon Hills JHS,82.2,25.5,14.7,25.1,16.9
2019,March,16,PSJ,Warm Springs MS,82.05,23.55,15.8,25.9,16.8
2019,March,16,PSJ,Rancho-Starbuck IS,80.751,24.75,14.5,26.2,15.3
2019,March,16,PSJ,Nobel MS,76.601,23.7,14.1,24.6,14.2
2019,March,16,PSA,Nogales HS,83.7,24.9,17.4,24.6,16.8
2019,March,16,PSA,Rancho Verde HS,82.85,24.15,16.6,25.7,16.4
2019,March,16,PSA,Pacifica HS,82.65,25.05,16.0,25.1,16.5
2019,March,16,PSA,Baldwin Park HS,80.7,24.45,15.4,24.5,16.35
2019,March,16,PSA,Canyon HS (AH),79.001,23.7,14.9,25.6,14.8
2019,March,16,PSA,Cypress HS,77.876,23.175,16.2,23.6,14.9
2019,March,16,PSA,El Toro HS,77.051,23.25,15.8,22.7,15.3
2019,March,16,PSA,Redondo Union HS,75.701,21.9,14.6,24.2,15.0
2019,March,16,PSA,South Hills HS,74.901,22.2,13.8,23.2,15.7
2019,March,16,PSA,Ontario HS,72.95,21.15,14.5,23.1,14.2
2019,March,16,PSA,South Pasadena HS,72.9,22.8,14.7,22.3,13.1
2019,March,16,PSA,Santa Fe HS,72.2,22.5,14.0,22.2,13.5
2019,March,16,PSA,Damien HS,69.9,21.0,13.9,21.8,13.2
2019,March,16,PSA,Hesperia HS,0.0,0.0,0.0,0.0,0.0
2019,March,16,PIA,Pasadena City College,75.0,22.2,15.4,22.8,14.6
2019,March,16,PSO,Fountain Valley HS,83.45,24.75,17.2,25.4,16.1
2019,March,16,PSO,San Marino HS,83.1,25.65,16.85,24.6,16.0
2019,March,16,PSO,Rancho Cucamonga HS,85.0,25.5,17.1,25.5,16.9
2019,March,16,PSO,Patriot HS,81.6,24.6,16.9,23.8,16.3
2019,March,16,PSO,William S. Hart HS,80.951,24.45,15.6,24.7,16.2
2019,March,16,PSO,Mission Hills HS,80.501,23.1,16.3,24.4,16.7
2019,March,16,PSO,Carlsbad HS,79.701,23.25,16.0,24.5,15.95
2019,March,16,PSW,Chino Hills HS,89.7,26.7,18.4,26.9,17.7
2019,March,16,PSW,La Quinta HS (W),83.95,25.35,17.5,24.5,16.6
2019,March,16,PSW,Diamond Bar HS,81.1,24.3,15.7,25.1,16.0
2020,February,1,PSA,St. Genevieve HS,72.2,21.3,13.9,22.7,14.3
2020,February,1,PSA,Westlake HS,72.45,22.35,14.4,22.6,13.1
2020,February,1,PSA,Arroyo HS,73.65,20.85,15.7,23.5,13.6
2020,February,1,PSA,Thousand Oaks HS,68.951,19.95,13.7,21.5,13.8
2020,February,1,PSA,West HS (T),72.825,20.925,15.8,21.6,14.5
2020,February,1,PSA,South Hills HS,71.6,20.4,14.8,22.0,14.4
2020,February,1,PSA,West Covina HS,65.251,18.75,13.1,21.0,12.4
2020,February,1,PSA,Valhalla HS,64.101,19.2,12.7,20.7,11.5
2020,February,1,PSA,South Pasadena HS,66.651,19.65,13.5,20.6,12.9
2020,February,1,PSA,Orange Vista HS,56.25,15.45,12.0,18.2,10.6
2020,February,1,PIA,Pace Percussion Ensemble,64.55,18.45,12.4,21.0,12.7
2020,February,1,PSO,Chino HS,76.45,24.15,16.2,22.2,13.9
2020,February,1,PSO,West Ranch HS,72.1,21.9,14.9,20.9,14.4
2020,February,1,PSO,Arcadia HS,74.65,23.55,15.4,20.8,14.9
2020,February,1,PSO,Granada Hills CHS,67.1,20.1,13.8,19.6,13.6
2020,February,1,PSW,Arcadia HS,78.75,24.15,16.2,22.7,15.7
2017,March,4,PRA,Quakertown,85.85,24.8,25.35,17.9,17.8
2017,March,4,PRA,Phoenixville,82.25,23.9,24.15,17.7,16.5
2017,March,4,PRA,Highland,78.7,23.8,21.6,15.9,17.4
2017,March,4,PRA,Kensington CAPA,80.25,24.1,23.25,16.3,16.6
2017,March,4,PRA,Pennridge,70.4,18.5,21.0,15.7,15.2
2016,April,9,PSO,Old Bridge,89.35,27.0,27.15,17.6,17.6
2016,April,9,PSO,Upper Darby,86.05,26.9,26.25,17.1,15.8
2016,April,9,PSO,Springford,85.95,27.1,25.95,16.5,16.4
2018,March,10,GHSSRAB,Reedley HS Guard,61.39,14.01,11.28,12.8,12.1
2018,March,10,GHSSRAB,Monache HS Guard,61.83,12.49,11.94,12.2,12.3
2018,March,10,GHSSRAB,Woodlake HS Guard,58.69,12.68,10.21,13.4,11.0
2018,March,10,GHSSRAB,Mendota HS Guard,59.45,12.08,11.47,11.5,11.8
2025,March,22,GHSSA,Cesar E Chavez Winter Guard,76.61,15.47,14.54,16.8,15.0
2025,March,22,GHSSA,Delano CA,76.61,15.47,14.54,16.8,15.0
2025,March,22,GHSSA,Orosi HS Winterguard,72.18,15.27,13.41,14.7,14.9
2025,March,22,GHSSA,Madera South HS Winterguard,70.75,14.41,13.94,15.2,13.9
2025,March,22,GHSSA,Fresno HS Winter Guard,67.65,14.74,12.81,14.5,13.7
2025,March,22,GHSSA,Tulare Union HS Winterguard,67.65,15.07,13.08,14.2,12.7
2018,February,24,PRA,Phoenixville,81.05,24.2,25.05,15.6,16.2
2018,February,24,PRA,Upper Dublin,76.25,23.2,22.95,15.2,14.9
2018,February,24,PRA,Abington,75.5,22.4,23.7,14.1,15.3
2018,February,24,PRA,Pennridge,73.25,20.6,21.45,15.5,15.7
2018,February,24,PSA,Hatboro-Horsham,80.8,23.4,25.8,16.4,15.2
2018,February,24,PSA,Unionville,80.55,24.2,25.05,15.4,15.9
2018,February,24,PSA,Quakertown,76.2,23.0,24.9,14.1,14.2
2018,February,24,PSA,Upper Darby,73.8,22.7,22.5,15.1,13.5
2018,February,24,PSA,Methacton,73.701,22.4,23.1,13.5,14.7
2018,February,24,PSA,Hopewell Valley Central,74.05,22.1,23.55,15.5,12.9
2018,February,24,PSA,Cheltenham,71.951,21.2,23.85,13.7,13.2
2018,February,24,PSA,Coatesville,70.301,20.8,21.9,14.6,13.0
2018,February,24,PSA,Parkland,70.201,20.2,23.4,12.9,13.7
2018,February,24,PIA,East Coast Percussion,74.0,21.2,22.5,15.6,14.7
2018,February,24,PIA,Aftermath,68.75,20.0,22.35,12.8,13.6
2018,February,24,PSO,Perkiomen Valley,73.65,22.5,24.75,12.9,13.5
2018,February,24,PSO,Downingtown,70.45,21.8,23.25,12.8,12.6
2018,February,24,PIO,Imperial Dynasty,77.5,23.0,24.3,15.2,15.0
2019,March,2,PSA,Clover HS,81.65,24.75,16.0,24.8,16.1
2019,March,2,PSA,Farragut HS,81.375,24.675,16.5,24.7,15.5
2019,March,2,PSA,Hardin Valley Academy,80.15,24.45,16.3,23.8,15.6
2019,March,2,PSA,Dorman HS,78.9,23.1,16.9,24.3,14.6
2019,March,2,PSA,North Lincoln HS,75.551,22.95,15.7,22.2,14.7
2019,March,2,PSA,Wade Hampton HS,79.0,24.6,17.3,21.8,15.3
2019,March,2,PIA,Paradigm Percussion,80.15,23.25,17.0,24.4,15.5
2019,March,2,PIA,Fusion Percussion,75.85,21.75,14.8,24.7,14.6
2019,March,2,PIA,Saints Percussion,72.65,21.45,14.2,23.1,13.9
2019,March,2,PSO,Halls HS,80.85,24.45,16.8,24.5,15.1
2019,March,2,PSO,Panther Creek HS,78.2,23.4,15.9,24.2,14.7
2019,March,2,PSO,Collins Hill HS,76.25,22.35,15.6,24.7,13.6
2019,March,2,PSO,Harrison HS,74.85,22.65,14.6,23.8,13.8
2019,March,2,PIO,Liberty University Indoor Drumline,76.35,22.65,14.3,24.8,14.6
2019,March,2,PIO,Q2,73.35,21.15,14.0,24.4,13.8
2019,March,2,PIO,Civitas Independent,80.85,23.55,15.7,25.5,16.1
2019,March,2,PIO,Revelation,73.25,20.85,14.8,23.2,14.4
2019,March,2,PIW,Equinox Percussion,71.25,20.25,13.0,24.4,13.6
2018,June,23,SO,4th Raiders Color Guard,75.3,14.0,14.7,16.6,15.2
2018,June,23,SO,St. John's Institution Naval Cadet Band (SJINCB),73.3,13.9,14.4,16.0,14.5
2018,June,23,SO,Cinderella Corps,65.7,12.6,12.3,14.9,12.9
2018,June,23,SO,Moonwalk Elementary School Color Guards,62.8,12.3,12.7,12.4,12.2
2018,June,23,SO,Francisco Barzaga Memorial School Color Guards,62.1,12.8,11.7,12.9,12.5
2018,June,23,IO,Sinag Color Guards - Sicogu,78.4,15.7,15.8,14.8,16.0
2018,June,23,IO,Taipei Yuehfu Drum and Bugle Corps,77.1,15.9,15.6,15.1,14.8
2018,June,23,IO,Sandugo Guardline,76.5,15.4,15.2,14.4,15.0
2018,June,23,IO,United Central Color Guards,76.0,15.0,15.5,15.8,14.1
2018,June,23,IO,MB Citra Derap Bahana Yogyakarta State University,72.6,14.8,14.7,14.0,13.7
2018,June,23,IO,City of Bacoor Youth Composite Guardline,71.001,14.7,14.5,13.8,13.5
2018,June,23,IO,The Dragons of the Cabiao Youth Concert Band 88,69.101,13.5,14.9,14.2,12.8
2018,June,23,IO,Citizens' Brigade Band of Dasmariñas,67.201,13.1,13.7,13.0,13.4
2018,June,23,PSO,Marching Band Listya Dwijaswara,76.9,21.9,15.4,25.1,14.5
2018,June,23,PSO,Gonzales Ascutia High School,68.15,20.55,15.5,19.4,12.7
2018,June,23,PSO,Parañaque Elementary School Central,66.7,20.7,13.8,18.7,13.5
2018,June,23,PSO,Crisanto Guysayco Memorial Elementary School,66.0,19.8,14.4,19.4,12.4
2018,June,23,PIO,Jember Marching Band,77.05,22.65,14.4,25.0,15.0
2018,June,23,PIO,Lahing Kayumanggi Percussion Ensemble (by mDLC),69.0,21.0,15.2,19.2,13.6
2018,June,23,PIO,Baclaran Elementary School Unit 1,68.9,20.1,15.5,19.7,13.6
2018,June,23,PIO,Sinag Katipunan Indoor Percussion,67.7,19.2,15.2,20.4,12.9
2018,June,23,PIO,Gentri Warriors Drum and Lyre Corps,63.95,18.75,13.8,19.2,12.2
2023,February,18,SG,Old Mill HS,67.25,14.81,14.14,12.6,12.9
2023,February,18,SG,Saint Mary's County Color Guard,63.55,14.41,13.94,11.3,11.5
2023,February,18,SG,Westminster HS Guard,62.19,13.15,13.74,11.9,11.6
2023,February,18,SG,Century HS Guard,61.38,13.34,12.94,11.6,11.8
2023,February,18,SG,Oakdale HS Guard,59.99,13.75,13.34,10.7,10.9
2023,February,18,SG,Thomas S. Wootton HS Guard,57.12,13.48,13.54,9.9,10.2
2023,February,18,SG,Seneca Valley HS Guard,54.751,12.81,12.54,9.7,9.9
2023,February,18,SG,Clarksburg HS Guard,54.751,13.01,12.14,9.5,9.8
2023,April,1,GHSSRAB,Bullard HS Guard,64.655,118.6,114.95,12.8,13.3
2023,April,1,GHSSRAB,Farmersville HS Winterguard,64.16,114.6,116.0,12.5,13.0
2023,April,1,GHSSRAB,Farmersville,64.16,114.6,116.0,12.5,13.0
2023,April,1,GHSSRAB,Liberty HS Winterguard,62.78,116.1,112.7,12.3,12.7
2023,April,1,GHSSRAB,Hoover HS Winterguard,61.58,114.1,110.7,12.4,12.2
2023,April,1,GHSSRAB,Tulare Western HS Winterguard B,59.56,105.4,112.2,11.7,11.7
2023,April,1,GHSSRAB,Edison HS Winterguard,57.411,103.4,102.7,11.5,11.5
2023,April,1,GHSSRAB,Caruthers HS Winterguard,57.021,108.8,107.4,10.7,10.7
2023,April,1,GHSSRAB,Woodlake HS Winterguard,55.491,103.5,105.4,10.1,10.3
2020,February,15,GHSSRAB,Fresno Christian HS Guard,51.4,94.2,84.8,11.1,10.8
2020,February,15,GHSSRAB,Reedley HS Guard,49.5,84.2,90.8,10.6,10.0
2020,February,15,GHSSRAB,Hoover HS Guard,48.64,90.1,85.3,10.5,9.7
2020,February,15,GHSSRAB,Mt Whitney HS Guard,43.831,78.9,85.4,9.0,8.1
2020,February,15,GHSSRAB,Mendota HS Guard,45.4,80.9,82.1,10.0,9.1
2025,March,8,SRA,Central Dauphin East HS Guard,81.04,15.54,16.3,16.8,16.8
2025,March,8,SRA,Carlisle High School,76.82,14.81,14.41,15.3,16.4
2025,March,8,SRA,Cedar Crest HS Guard,75.35,15.01,14.9,15.6,14.9
2025,March,8,SRA,Susquehannock HS Guard,72.62,14.21,14.01,14.4,15.3
2017,March,11,PSA,Waller HS,81.55,24.75,16.0,24.4,16.4
2017,March,11,PSA,Nazarene Christian Academy,72.9,21.0,14.6,22.6,14.7
2017,March,11,PIA,Roots Percussion Independent,91.65,28.05,18.8,26.8,18.0
2017,March,11,PSO,Clear Brook HS,90.25,27.15,18.1,26.7,18.3
2017,March,11,PSO,Carroll HS,87.7,26.4,16.8,26.8,17.7
2017,March,11,PSO,Timber Creek HS,85.85,26.55,15.9,26.1,17.3
2017,March,11,PSO,Cy-Fair HS,85.25,24.75,16.9,26.0,17.6
2017,March,11,PSO,Robert E. Lee HS,82.451,25.35,16.5,25.2,15.4
2017,March,11,PSO,Edinburg HS,81.901,24.3,16.3,25.6,15.7
2017,March,11,PSO,Winston Churchill HS,81.251,24.15,16.1,25.0,16.0
2017,March,11,PSO,Eagle Pass HS,80.401,24.6,14.6,24.9,16.3
2017,March,11,PSO,Azle HS,79.851,24.45,14.8,24.4,16.2
2017,March,11,PSO,John B Alexander HS,74.5,21.9,14.9,23.6,14.1
2017,March,11,PIO,5Points Percussion,84.25,24.45,17.6,25.6,16.6
2017,March,11,PIO,Violet Crown Independent,81.25,23.55,16.6,25.0,16.1
2017,March,11,PIO,UTRGV Indoor Percussion Ensemble,74.55,21.45,14.8,24.6,13.7
2017,March,11,PSW,Homer Hanna HS,86.55,25.65,17.3,26.6,17.0
2017,March,11,PSW,North Shore HS,84.65,25.35,16.5,26.2,16.6
2017,March,11,PSW,Pasadena Memorial HS,83.05,24.75,16.8,25.6,15.9
2017,March,11,PIW,Monarch Independent,85.9,25.8,17.4,25.9,16.8
2025,March,30,PIO,EPIC Indoor Percussion,79.4,25.2,23.7,15.8,14.7
2025,March,30,PIO,Flower City Percussion,77.0,23.8,22.8,15.0,15.4
2025,March,30,PIO,Auburn Purple Lancers,76.35,24.2,21.75,16.1,14.3
2014,March,9,PSO,Fountain Valley HS,81.55,32.0,33.15,16.4,0.0
2014,March,9,PSO,Valencia HS (OC),81.05,32.8,34.05,14.2,0.0
2014,March,9,PSO,San Marcos HS (SB),79.35,31.0,33.35,15.0,0.0
2014,March,9,PSO,Buena HS,78.85,30.8,32.05,16.0,0.0
2014,March,9,PSO,Upland HS,78.65,30.2,33.25,15.2,0.0
2014,March,9,PSO,Vista Murrieta HS,78.4,31.4,31.0,16.0,0.0
2014,March,9,PSO,Pacifica HS,76.125,29.6,31.725,14.8,0.0
2014,March,9,PSO,El Dorado HS,74.8,30.4,29.9,14.5,0.0
2014,March,9,PSO,West Ranch HS,73.95,30.6,29.35,14.0,0.0
2014,March,9,PSO,Rancho Cucamonga HS,75.8,30.0,31.4,14.4,0.0
2014,March,9,PSO,Chino HS,73.9,29.0,30.3,14.6,0.0
2014,March,9,PIA,Gold Coast Independent,63.1,25.4,25.1,12.6,0.0
2014,March,9,PSW,Ayala HS,85.1,34.6,33.9,16.6,0.0
2014,March,9,PSW,Rowland HS,83.55,33.6,34.45,15.5,0.0
2024,March,2,SN,Loudoun County HS Guard,71.88,13.47,14.41,15.0,14.5
2024,March,2,SN,Loudoun Valley HS Guard,67.15,12.54,13.61,14.4,13.2
2024,March,2,SN,Bowie HS  Guard,62.32,11.88,12.14,12.9,12.8
2024,March,2,SN,Frederick HS Guard,63.85,12.34,12.81,14.1,12.3
2023,April,2,PE-SB,The Ox Percussion Ensemble,90.25,42.0,45.0,46.2,47.3
2023,April,2,PE-SB,Saint Mary's County Indoor Percussion,85.95,41.6,43.7,42.9,43.7
2023,April,2,PE-SB,Conestoga Valley HS Percussion,85.1,38.2,44.5,44.8,42.7
2023,April,2,PE-SB,Linganore HS Percussion,85.0,40.3,43.4,41.9,44.4
2023,April,2,PE-SB,Broadneck High School Concert Percussion,84.251,40.4,42.9,43.3,41.9
2023,April,2,PE-SB,Annapolis MD,84.251,40.4,42.9,43.3,41.9
2023,April,2,PE-SB,North Hagerstown HS Percussion,83.201,39.2,42.4,41.2,43.6
2024,March,16,P-IO(,Old Line Independent Percussion,85.45,26.25,25.5,16.8,16.9
2019,March,30,GJHSA,La Joya JH Guard,61.58,11.74,11.74,10.5,13.4
2019,March,30,GJHSA,Pioneer MS Guard,57.51,11.07,10.74,11.3,11.4
2019,March,30,GJHSA,Parkview MS Guard,56.48,11.54,10.34,10.3,12.3
2019,March,30,GJHSA,Wilson MS Guard,54.21,11.27,10.14,10.2,11.0
2024,February,3,SA,Greencastle-Antrim High School Indoor Guard,69.98,12.74,12.94,16.2,14.9
2024,February,3,SA,Hempfield HS Guard,68.08,12.34,12.74,15.9,14.5
2026,March,21,P-SA,Greencastle-Antrim HS Winter Percussion,82.25,24.75,24.3,16.6,16.6
2026,March,21,P-SA,Clarke County Indoor Drumline,80.5,24.15,24.75,15.5,16.1
2026,March,21,P-SA,Central Anne Arundel County Percussion,79.65,23.7,25.35,15.1,15.5
2026,March,21,P-SA,Washington County Indoor Percussion,76.4,23.1,23.7,14.9,14.7
2026,March,14,PSO,West Shore School District,85.55,25.95,17.1,25.6,16.9
2026,March,14,PSO,Old Bridge,82.2,24.6,16.3,25.0,16.3
2026,March,14,PSO,Kingsway Regional,77.5,23.7,15.0,23.4,15.4
2024,March,23,P-IA,EPIC Indoor Percussion,83.25,25.95,24.3,16.4,16.6
2017,March,18,PSA,Sherwood HS,84.85,26.25,17.3,24.4,16.9
2017,March,18,PSA,Westview HS,84.6,26.1,16.5,24.7,17.3
2017,March,18,PSA,Tigard HS,80.35,25.05,14.5,25.5,15.3
2017,March,18,PSA,Skyview HS,76.3,21.9,14.3,24.9,15.2
2017,March,18,PSA,Sunset HS,74.001,23.7,12.6,25.0,12.7
2017,March,18,PSA,Glencoe HS,77.7,23.1,16.0,23.6,15.0
2017,March,18,PSA,Lincoln HS,74.801,22.5,15.3,22.2,14.8
2017,March,18,PSA,Liberty HS,68.951,22.05,12.9,20.8,13.2
2017,March,18,PSA,North Thurston HS,68.251,21.15,14.4,18.7,14.0
2017,March,18,PSA,Sherwood Middle School,65.95,20.25,12.7,20.6,12.4
2017,March,18,PSA,Rex Putnam HS,65.775,21.675,12.2,19.7,12.2
2017,March,18,PIA,IMPACT Percussion,84.85,25.95,17.0,24.9,17.0
2017,March,18,PIA,Eruption Indoor Percussion,74.25,23.55,13.8,22.9,14.0
2017,March,18,PSO,Kamiak HS,81.5,25.8,16.4,23.8,15.5
