year,week,class,name,overall score,music effect,visual effect,music,visual
2019,3,PIA,Albany Indoor Percussion,66.65,19.1,21.45,12.5,13.6
2019,4,PIA,Albany Indoor Percussion,63.6,21.3,17.4,12.2,12.7
2019,10,PIA,Albany Indoor Percussion,72.35,21.9,21.75,14.4,14.3
2019,3,PIA,Avant Garde,63.3,19.5,12.5,18.8,12.5
2019,5,PIA,Avant Garde,66.35,21.75,12.3,20.4,11.9
2019,5,PIA,Charles Towne Percussion,70.2,19.5,15.0,20.2,15.5
2019,6,PIA,Cornell Indoor Drumline,65.2,19.3,19.2,13.2,13.5
2019,10,PIA,Cornell Indoor Drumline,68.5,20.2,21.0,13.5,13.8
2019,4,PIA,Cornerstone Percussion,62.7,18.0,12.2,20.1,12.4
2019,6,PIA,Cornerstone Percussion,70.15,21.45,14.7,19.4,14.6
2019,8,PIA,Cornerstone Percussion,75.95,23.55,15.4,22.2,14.8
2019,9,PIA,Cornerstone Percussion,79.8,24.6,14.4,23.7,17.1
2019,10,PIA,Cornerstone Percussion,78.7,24.3,15.25,23.9,15.25
2019,3,PIA,Crossroads Percussion,72.4,21.9,14.7,20.8,15.0
2019,5,PIA,Crystal Lake Thunder,74.55,23.25,14.5,22.6,14.2
2019,6,PIA,Crystal Lake Thunder,79.5,24.3,15.6,25.0,14.6
2019,11,PIA,Crystal Lake Thunder,84.375,25.2,16.525,25.7,16.95
2019,7,PIA,ELITE A,78.6,23.55,15.15,24.2,15.7
2019,2,PIA,Farmington United Percussion Ensemble,71.95,21.75,13.6,22.8,13.8
2019,5,PIA,Fusion Percussion,75.85,21.75,14.8,24.7,14.6
2019,11,PIA,Fusion Percussion,86.738,25.837,17.75,25.575,17.575
2019,5,PIA,G2,76.2,23.7,15.2,22.0,15.3
2019,11,PIA,G2,88.251,26.775,17.425,26.525,17.525
2019,4,PIA,Gate City Percussion,70.5,21.0,14.6,20.1,14.8
2019,2,PIA,Huron Valley Percussion,71.5,20.4,13.3,23.3,14.5
2019,11,PIA,Huron Valley Percussion,89.901,27.375,18.525,26.45,17.55
2019,11,PIA,Impact Percussion UT,90.076,27.9,17.5,26.375,18.3
2019,4,PIA,Incognito,67.55,18.15,13.2,22.3,13.9
2019,7,PIA,Incognito,66.5,19.2,13.1,20.4,13.8
2019,9,PIA,Incognito,75.8,22.5,15.4,21.8,16.1
2019,4,PIA,Infinity 3,75.5,23.1,15.5,22.5,14.4
2019,2,PIA,Lake Effect Percussion,66.5,18.9,13.4,20.6,13.6
2019,11,PIA,Lake Effect Percussion,82.925,24.15,17.475,24.95,16.35
2019,3,PIA,Modulation Z,72.8,23.1,14.5,21.9,13.3
2019,6,PIA,Modulation Z,84.4,25.8,16.8,26.6,15.2
2019,11,PIA,Modulation Z,92.85,27.825,18.225,28.2,18.6
2019,8,PIA,Nomad Indoor,79.85,25.05,15.55,23.7,15.55
2019,11,PIA,Nomad Indoor,88.076,26.55,17.85,26.25,17.425
2019,8,PIA,North Star Independent,75.0,24.0,16.2,19.5,15.3
2019,4,PIA,Onondaga Community College,72.1,23.4,22.5,13.2,13.0
2019,8,PIA,Onondaga Community College,73.85,24.3,21.15,13.8,14.6
2019,10,PIA,Onondaga Community College,78.525,25.5,22.725,15.3,15.0
2019,5,PIA,Paradigm Percussion,80.15,23.25,17.0,24.4,15.5
2019,11,PIA,Paradigm Percussion,93.35,28.2,19.075,27.575,18.5
2019,7,PIA,Pasadena City College,75.0,22.2,15.4,22.8,14.6
2019,8,PIA,Pasadena City College,71.05,20.55,14.9,19.8,15.8
2019,9,PIA,Pasadena City College,80.25,23.25,15.7,24.1,17.2
2019,10,PIA,Pasadena City College,81.175,24.075,16.2,24.85,16.05
2019,6,PIA,Phoenix Union Indoor,71.15,22.05,14.7,21.1,13.3
2019,6,PIA,Pinnacle Percussion,77.25,22.65,16.3,23.4,14.9
2019,8,PIA,Pinnacle Percussion,83.65,25.05,16.6,25.9,16.1
2019,11,PIA,Point Indoor Percussion,83.35,24.75,16.45,25.7,16.45
2019,7,PIA,Points Indoor Percussion,75.95,22.35,15.2,24.5,13.9
2019,4,PIA,RPT PERCUSSION,71.55,21.15,14.7,22.4,13.3
2019,8,PIA,Railmen Indoor Percussion,85.9,27.9,16.8,24.6,16.6
2019,11,PIA,Railmen Indoor Percussion,94.1,28.65,18.55,27.85,19.05
2019,4,PIA,Resistance Indoor Percussion,78.4,23.4,15.0,25.0,15.0
2019,6,PIA,Rhythm Armada,74.5,19.5,15.5,24.2,15.3
2019,5,PIA,SB Percussion,74.8,22.8,14.7,22.8,14.5
2019,6,PIA,SB Percussion,71.55,22.05,15.2,20.9,13.4
2019,4,PIA,STRYKE Percussion 2,78.875,23.175,15.8,24.0,15.9
2019,11,PIA,STRYKE Percussion 2,93.25,27.825,18.95,28.1,18.375
2019,5,PIA,Sacramento State Indoor Percussion Ensemble,76.75,23.55,14.9,23.4,14.9
2019,5,PIA,Saints Percussion,72.65,21.45,14.2,23.1,13.9
2019,11,PIA,Saints Percussion,83.763,24.938,16.225,26.65,15.95
2019,5,PIA,Shadow Indoor Percussion,74.0,23.1,14.1,22.6,14.2
2019,11,PIA,Shadow Indoor Percussion,85.338,25.688,16.975,25.775,16.9
2019,2,PIA,Shockwave,60.3,18.6,12.0,18.1,11.6
2019,7,PIA,Southwest Independent Percussion,70.95,21.0,13.8,21.6,14.55
2019,7,PIA,StarCross Percussion Ensemble,64.925,18.825,12.55,21.5,12.05
2019,6,PIA,Sun City Sound,77.3,22.8,15.7,24.0,14.8
2019,7,PIA,Tar River Independent Percussion,61.675,18.225,11.8,20.2,11.45
2019,3,PIA,United 2,69.6,22.4,19.8,14.3,13.1
