year,week,class,name,overall score,music effect,visual effect,music,visual
2016,1,PIO,Chops Percussion Indoor,74.3,22.3,23.1,13.0,15.9
2016,2,PIO,Chops Percussion Indoor,70.35,22.1,20.85,14.5,12.9
2016,3,PIO,Chops Percussion Indoor,71.7,20.9,23.7,14.1,13.0
2016,5,PIO,Chops Percussion Indoor,76.0,22.0,24.6,15.2,14.2
2016,6,PIO,Chops Percussion Indoor,75.55,21.9,23.55,15.5,14.6
2016,7,PIO,Chops Percussion Indoor,75.238,23.85,22.837,14.4,14.15
2016,9,PIO,Chops Percussion Indoor,79.125,24.65,23.025,15.8,15.65
2016,1,PIO,ConneXus Percussion,76.85,24.8,21.75,15.5,14.8
2016,3,PIO,ConneXus Percussion,79.5,24.2,22.5,17.0,15.8
2016,5,PIO,ConneXus Percussion,80.45,23.7,24.15,16.3,16.3
2016,9,PIO,ConneXus Percussion,84.15,25.6,22.95,17.7,17.9
2016,4,PIO,Elan Percussion,74.3,21.3,15.0,23.5,14.5
2016,6,PIO,Elan Percussion,77.5,23.7,16.2,21.6,16.0
2016,9,PIO,Elan Percussion,81.4,24.0,16.7,24.2,16.5
2016,10,PIO,Elan Percussion,81.275,23.775,15.95,25.25,16.3
2016,0,PIO,Elite Indoor Percussion,67.6,27.2,28.2,12.2,0.0
2016,4,PIO,Elite Indoor Percussion,74.3,29.0,30.3,15.0,0.0
2016,9,PIO,Elite Indoor Percussion,75.1,23.7,21.3,15.7,14.4
2016,3,PIO,Impact Percussion,73.5,27.4,30.3,15.8,0.0
2016,6,PIO,Impact Percussion,81.85,29.6,35.65,16.6,0.0
2016,8,PIO,Impact Percussion,87.4,34.4,36.0,17.0,0.0
2016,10,PIO,Impact Percussion,91.8,27.9,27.6,18.2,18.1
2016,4,PIO,Orange County Independent Open,79.55,23.55,15.8,24.4,15.8
2016,9,PIO,Orange County Independent Open,86.05,26.55,17.5,25.6,16.4
2016,10,PIO,Orange County Independent Open,85.45,24.75,16.9,26.2,17.6
2016,1,PIO,River City Rhythm,85.75,25.8,25.95,16.5,17.5
2016,2,PIO,River City Rhythm,81.7,25.5,25.2,14.5,16.5
2016,3,PIO,River City Rhythm,86.0,26.1,25.5,17.0,17.4
2016,5,PIO,River City Rhythm,87.5,25.1,27.3,18.2,16.9
2016,7,PIO,River City Rhythm,88.55,26.4,26.325,18.175,17.65
2016,9,PIO,River City Rhythm,92.325,27.7,27.675,18.1,18.85
2016,2,PIO,Troopercussion Indoor,78.65,30.4,32.25,16.0,0.0
2016,3,PIO,Troopercussion Indoor,75.3,30.0,29.9,15.4,0.0
2016,8,PIO,Troopercussion Indoor,83.05,32.8,33.85,16.4,0.0
2016,10,PIO,Troopercussion Indoor,84.6,25.6,24.6,17.1,17.3
2016,1,PIO,Valley Independent Percussion,78.3,25.2,22.8,14.9,15.4
2016,4,PIO,Valley Independent Percussion,83.05,24.7,25.95,16.1,16.3
2016,10,PIO,Valley Independent Percussion,88.85,27.5,26.25,17.5,17.6
2016,2,PIO,Weber State Indoor Percussion,82.35,32.8,32.95,16.6,0.0
2016,3,PIO,Weber State Indoor Percussion,77.3,31.2,31.1,15.0,0.0
2016,6,PIO,Weber State Indoor Percussion,84.4,33.0,35.7,15.7,0.0
2016,10,PIO,Weber State Indoor Percussion,89.4,27.6,26.4,17.4,18.0
