year,week,class,name,overall score,music effect,visual effect,music,visual
2022,2,PSO,Arcadia HS,67.3,20.1,13.1,21.5,12.6
2022,8,PSO,Azle HS,82.65,25.35,17.5,24.4,15.4
2022,5,PSO,Basha HS,76.7,22.2,15.7,23.3,15.5
2022,7,PSO,Basha HS,80.7,23.4,16.6,25.6,15.1
2022,8,PSO,Boswell HS,82.1,25.2,16.7,24.5,15.7
2022,6,PSO,Brandon Valley HS,79.75,23.55,16.5,23.9,15.8
2022,8,PSO,Brandon Valley HS,86.7,26.7,17.5,25.4,17.1
2022,13,PSO,Brandon Valley HS,92.551,28.05,18.75,27.4,18.35
2022,5,PSO,Brandon Valley High School,71.55,22.35,14.0,21.8,13.4
2022,10,PSO,Brandon Valley High School,87.35,25.95,17.3,26.3,17.8
2022,11,PSO,Brandon Valley High School,87.6,26.85,16.65,26.35,17.75
2022,6,PSO,Bridgeland HS,80.0,24.6,15.2,25.2,15.0
2022,6,PSO,Brownsburg HS,80.751,23.55,15.6,24.3,17.3
2022,7,PSO,Brownsburg Percussion,86.6,27.0,17.0,24.5,18.1
2022,8,PSO,Brownsburg Percussion,84.463,25.612,17.05,25.0,16.8
2022,10,PSO,Brownsburg Percussion,90.525,26.775,18.7,27.3,17.75
2022,4,PSO,Buena HS,68.401,21.0,13.8,20.3,13.3
2022,6,PSO,Buena HS,74.05,22.35,13.8,23.9,14.0
2022,7,PSO,Buena HS,79.35,23.25,15.9,24.3,15.9
2022,8,PSO,Burleson HS,85.05,25.65,17.8,25.4,16.2
2022,2,PSO,Camarillo HS,64.25,18.15,12.1,21.6,12.4
2022,6,PSO,Camarillo HS,77.3,23.4,14.8,23.7,15.4
2022,7,PSO,Camarillo HS,77.025,24.225,15.3,22.5,15.0
2022,12,PSO,Camarillo HS,88.076,26.625,17.55,26.6,17.3
2022,12,PSO,Canyon HS,87.889,26.887,17.575,26.075,17.35
2022,3,PSO,Canyon HS (AH),75.55,22.35,15.2,23.3,14.7
2022,6,PSO,Canyon HS (AH),80.05,24.15,15.6,24.6,15.7
2022,8,PSO,Canyon HS (AH),84.3,25.5,17.3,24.5,17.0
2022,5,PSO,Carroll High School Indoor Percussion Ensemble,72.5,22.2,12.9,23.5,13.9
2022,7,PSO,Carroll High School Indoor Percussion Ensemble,78.25,23.7,14.7,24.55,15.3
2022,8,PSO,Carroll High School Indoor Percussion Ensemble,75.001,22.8,14.55,22.8,14.85
2022,10,PSO,Carroll High School Indoor Percussion Ensemble,75.851,22.8,14.85,23.3,14.9
2022,7,PSO,Casa Grande HS,76.4,22.8,15.7,23.0,14.9
2022,8,PSO,Century HS,73.85,21.15,16.3,22.6,13.8
2022,6,PSO,Chantilly HS,76.75,22.65,16.1,23.6,14.4
2022,4,PSO,Chino HS,72.3,22.5,14.3,21.0,14.5
2022,7,PSO,Chino HS,77.975,22.575,15.5,24.6,15.3
2022,9,PSO,Chino HS,86.65,25.35,17.2,27.1,17.0
2022,12,PSO,Chino HS,85.226,25.575,16.65,26.4,16.6
2022,6,PSO,Clear Brook HS,81.5,24.9,15.4,25.7,15.5
2022,13,PSO,Clear Brook HS,96.4,29.025,19.4,28.625,19.35
2022,12,PSO,Clovis HS,85.676,26.025,17.275,25.625,16.75
2022,8,PSO,Collins Hill HS,77.75,22.65,14.8,25.0,15.3
2022,6,PSO,Cy-Fair HS,80.8,23.7,16.2,24.7,16.2
2022,6,PSO,Davis HS,72.3,22.4,21.9,15.0,13.0
2022,7,PSO,Davis HS,77.8,23.9,23.4,15.9,14.6
2022,9,PSO,Davis HS,80.25,24.9,21.75,17.1,16.5
2022,10,PSO,Davis HS,83.2,24.1,26.25,15.65,17.2
2022,12,PSO,Davis HS,83.95,24.3,25.35,17.4,16.9
2022,6,PSO,Decatur Central HS,86.2,25.2,16.7,26.3,18.0
2022,3,PSO,Decatur Central Winter Percussion Ensemble,71.85,22.05,14.3,22.5,13.0
2022,5,PSO,Decatur Central Winter Percussion Ensemble,80.5,25.5,15.2,25.1,14.7
2022,8,PSO,Decatur Central Winter Percussion Ensemble,85.525,26.25,17.25,25.225,16.8
2022,6,PSO,Dobyns-Bennett HS,80.25,24.75,15.4,24.7,15.4
2022,7,PSO,Dorman HS,83.35,25.05,16.8,24.3,17.2
2022,13,PSO,Dorman HS,96.025,28.875,19.65,28.9,18.6
2022,8,PSO,Eden Prairie HS,84.75,26.55,16.5,25.9,15.8
2022,2,PSO,Eden Prairie High School,73.15,21.75,13.4,24.5,13.5
2022,4,PSO,Eden Prairie High School,73.15,22.35,13.3,23.4,14.1
2022,7,PSO,Eden Prairie High School,81.35,25.05,14.8,24.9,16.6
2022,10,PSO,Eden Prairie High School,84.7,25.2,16.7,25.9,16.9
2022,11,PSO,Eden Prairie High School,84.975,26.475,14.9,26.65,16.95
2022,3,PSO,El Dorado HS,74.1,22.2,14.4,22.6,14.9
2022,6,PSO,El Dorado HS,77.1,22.2,15.3,23.8,15.8
2022,7,PSO,El Dorado HS,80.2,23.4,16.4,23.7,16.7
2022,3,PSO,Fair Lawn,69.85,22.3,20.55,13.2,13.8
2022,5,PSO,Fair Lawn HS,73.2,21.3,14.0,23.6,14.3
2022,9,PSO,Fair Lawn HS,82.05,25.35,16.3,23.8,16.6
2022,4,PSO,Farmington HS,72.675,21.6,22.875,14.6,13.6
2022,7,PSO,Farmington HS,73.7,21.7,21.3,16.5,14.2
2022,9,PSO,Farmington HS,80.9,24.3,23.4,17.3,15.9
2022,10,PSO,Farmington HS,81.1,23.0,25.95,15.55,16.6
2022,12,PSO,Farmington HS,81.85,23.7,24.15,16.9,17.1
2022,7,PSO,Foothill HS (NV),79.35,22.65,17.0,23.9,15.8
2022,9,PSO,Foothill HS (NV),83.751,25.05,16.4,25.2,17.1
2022,6,PSO,Forney HS,71.251,20.25,14.1,22.7,14.2
2022,8,PSO,Forney HS,76.951,22.65,15.4,23.0,15.9
2022,5,PSO,Fort Wayne IN,73.1,21.9,14.0,23.0,14.2
2022,7,PSO,Fort Wayne IN,80.15,24.0,15.3,24.85,16.0
2022,8,PSO,Fort Wayne IN,78.326,23.475,15.65,23.2,16.0
2022,10,PSO,Fort Wayne IN,79.251,22.95,16.35,23.75,16.2
2022,8,PSO,Fossil Ridge HS,79.5,24.6,15.7,23.9,15.3
2022,4,PSO,Fountain Valley HS,74.8,22.2,14.8,23.0,14.8
2022,6,PSO,Fountain Valley HS,80.8,23.7,16.1,24.7,16.3
2022,8,PSO,Fountain Valley HS,81.6,24.3,16.4,24.6,16.3
2022,9,PSO,Fountain Valley HS,90.7,27.0,18.1,28.1,17.5
2022,12,PSO,Fountain Valley HS,90.1,26.775,17.85,27.35,18.125
2022,6,PSO,Freedom HS,75.001,22.2,14.6,23.0,15.2
2022,3,PSO,Gahr HS,78.35,23.85,15.6,24.4,14.5
2022,4,PSO,Gahr HS,77.95,23.85,15.8,22.4,15.9
2022,7,PSO,Gahr HS,80.55,24.15,16.3,24.7,15.4
2022,12,PSO,Gahr HS,91.65,27.15,18.15,28.05,18.3
2022,6,PSO,Goshen HS,73.601,22.2,14.6,22.9,13.9
2022,5,PSO,Goshen High School,70.4,21.6,13.5,21.7,13.6
2022,7,PSO,Goshen High School,71.1,21.9,14.2,20.4,14.6
2022,8,PSO,Goshen High School,73.026,22.275,14.0,22.3,14.45
2022,10,PSO,Goshen High School,73.051,22.05,14.35,22.1,14.55
2022,6,PSO,Granada Hills CHS,73.001,22.5,14.4,21.4,14.7
2022,9,PSO,Granada Hills Charter HS,84.451,25.65,17.3,25.4,16.1
2022,4,PSO,Great Oak HS,75.75,22.95,16.0,20.2,16.6
2022,5,PSO,Great Oak HS,80.4,24.3,16.2,23.7,16.2
2022,8,PSO,Great Oak HS,86.3,26.1,17.7,25.0,17.5
2022,9,PSO,Great Oak HS,94.2,28.2,19.1,28.5,18.4
2022,12,PSO,Great Oak HS,92.95,27.975,18.95,27.575,18.45
2022,6,PSO,Greenfield-Central HS,80.9,23.1,15.5,25.2,17.1
2022,5,PSO,Greenfield-Central Indoor Percussion Ensemble,77.8,23.1,16.0,22.8,15.9
2022,7,PSO,Greenfield-Central Indoor Percussion Ensemble,82.7,24.6,16.0,25.2,16.9
2022,8,PSO,Greenfield-Central Indoor Percussion Ensemble,80.189,24.413,15.75,24.125,15.9
2022,10,PSO,Greenfield-Central Indoor Percussion Ensemble,83.376,24.525,16.95,25.4,16.5
2022,6,PSO,Hardin Valley Academy,77.85,24.45,15.6,23.1,14.7
2022,1,PSO,Hardin Valley Academy Indoor Percussion Ensemble,66.8,19.2,20.7,13.7,13.2
2022,10,PSO,Hardin Valley Academy Indoor Percussion Ensemble,84.05,27.1,24.75,16.3,15.9
2022,8,PSO,Hillgrove HS,73.9,21.9,13.8,23.7,14.5
2022,5,PSO,Homestead Indoor Percussion,73.1,21.9,14.0,23.0,14.2
2022,7,PSO,Homestead Indoor Percussion,80.15,24.0,15.3,24.85,16.0
2022,8,PSO,Homestead Indoor Percussion,78.326,23.475,15.65,23.2,16.0
2022,10,PSO,Homestead Indoor Percussion,79.251,22.95,16.35,23.75,16.2
2022,5,PSO,Independence HS (Bakersfield),70.401,19.8,14.8,21.3,14.5
2022,8,PSO,Kamiak HS,85.0,25.5,17.3,24.3,17.9
2022,2,PSO,Kettering Fairmont,68.25,21.45,13.3,20.2,13.3
2022,5,PSO,Kettering Fairmont,75.8,24.9,14.2,22.5,14.2
2022,10,PSO,Kettering Fairmont,81.35,25.05,16.8,23.3,16.2
2022,6,PSO,Kettering Fairmont HS,77.026,23.625,15.6,23.2,14.6
2022,9,PSO,Kettering Fairmont HS,82.8,24.9,16.7,25.0,16.2
2022,3,PSO,La Canada HS,69.501,20.4,13.9,21.8,13.4
2022,6,PSO,La Canada HS,71.801,21.45,15.35,20.7,14.3
2022,5,PSO,La Quinta HS,71.1,19.8,15.4,21.3,14.6
2022,9,PSO,La Quinta HS,84.851,23.55,18.3,26.2,16.8
2022,6,PSO,La Quinta HS (W),78.3,23.4,16.3,22.5,16.1
2022,8,PSO,La Quinta HS (W),84.2,25.2,17.4,24.9,16.7
2022,3,PSO,Lake Orion HS,69.8,21.0,13.2,22.6,13.0
2022,5,PSO,Lake Orion Percussion,74.0,23.4,14.3,21.5,14.8
2022,7,PSO,Lake Orion Percussion,79.7,24.0,16.1,24.7,14.9
2022,11,PSO,Lake Orion Percussion,83.125,25.275,16.45,24.8,16.6
2022,4,PSO,Lebanon High School Drumline,66.7,21.3,12.2,20.1,13.1
2022,5,PSO,Lebanon High School Drumline,73.4,24.6,13.6,21.2,14.0
2022,7,PSO,Lebanon High School Drumline,78.25,23.25,15.8,24.5,14.7
2022,10,PSO,Lebanon High School Drumline,68.7,21.6,12.5,21.3,13.3
2022,7,PSO,Legacy HS,79.1,24.3,15.8,24.0,15.0
2022,4,PSO,Lehi HS,73.7,22.0,24.0,15.0,12.7
2022,6,PSO,Lehi HS,73.3,21.7,21.45,16.2,13.95
2022,9,PSO,Lehi HS,81.575,25.0,24.075,16.7,15.8
2022,10,PSO,Lehi HS,83.65,24.9,25.65,15.5,17.6
