year,week,class,name,overall score,music effect,visual effect,music,visual
2014,2,PIO,Dark Sky Percussion,77.25,29.4,31.95,15.9,0.0
2014,4,PIO,Elan Percussion,77.6,33.0,29.6,15.0,0.0
2014,6,PIO,Elan Percussion,80.95,32.0,31.65,17.3,0.0
2014,8,PIO,Elan Percussion,87.3,35.4,34.5,17.4,0.0
2014,8,PIO,Field of View,83.45,33.2,33.25,17.0,0.0
2014,7,PIO,Mississippi Gulf Coast Coll.,80.75,33.8,31.25,15.7,0.0
2014,8,PIO,Mississippi Gulf Coast Coll.,85.8,35.0,34.7,16.1,0.0
2014,4,PIO,Pasadena City College,72.55,31.0,28.95,12.6,0.0
2014,8,PIO,Pasadena City College,81.0,31.0,33.3,16.7,0.0
2014,0,PIO,River City Rhythm,80.0,29.4,35.2,15.4,0.0
2014,2,PIO,River City Rhythm,79.1,32.4,30.3,16.4,0.0
2014,3,PIO,River City Rhythm,79.75,32.4,30.75,16.6,0.0
2014,4,PIO,River City Rhythm,87.45,35.6,35.65,16.2,0.0
2014,6,PIO,River City Rhythm,87.05,34.8,35.35,16.9,0.0
2014,2,PIO,South County,84.8,32.2,35.2,17.4,0.0
2014,3,PIO,South County,83.4,32.0,34.0,17.4,0.0
2014,6,PIO,South County,88.0,33.8,35.1,19.1,0.0
2014,8,PIO,South County Percussion,90.25,34.8,37.35,18.1,0.0
2014,9,PIO,South County Percussion,90.05,34.8,36.65,18.6,0.0
2014,8,PIO,The Cadets,93.3,37.2,37.5,18.6,0.0
2014,2,PIO,Weber State Indoor Percussion,86.4,32.4,36.5,17.5,0.0
2014,5,PIO,Weber State Indoor Percussion,86.8,33.6,35.1,18.1,0.0
2014,8,PIO,Weber State Indoor Percussion,91.8,36.0,37.6,18.2,0.0
2014,9,PIO,Weber State Indoor Percussion,92.85,36.0,37.75,19.1,0.0
