year,week,class,name,overall score,music effect,visual effect,music,visual
2021,0,PSW,Avon High School,79.4,24.9,16.5,21.7,16.3
2021,2,PSW,Avon High School,84.1,25.5,17.2,25.1,16.3
2021,3,PSW,Avon High School,87.5,25.8,17.8,26.6,17.3
2021,4,PSW,Avon High School,89.9,27.0,18.3,26.5,18.1
2021,5,PSW,Avon High School,92.55,27.45,18.7,28.1,18.3
2021,6,PSW,Avon High School,95.15,29.25,19.4,27.4,19.1
2021,0,PSW,Center Grove High School,75.45,24.15,15.3,20.6,15.4
2021,1,PSW,Center Grove High School,80.4,24.6,15.8,24.0,16.0
2021,3,PSW,Center Grove High School,79.6,23.7,16.3,24.4,15.2
2021,4,PSW,Center Grove High School,85.75,26.1,17.1,25.7,16.85
2021,5,PSW,Center Grove High School,86.25,26.85,17.3,25.3,16.8
2021,6,PSW,Center Grove High School,87.15,26.85,17.3,25.8,17.2
2021,2,PSW,Fishers Indoor Drumline,81.15,24.75,16.4,24.4,15.6
2021,4,PSW,Fishers Indoor Drumline,89.9,27.6,17.6,27.2,17.5
2021,5,PSW,Fishers Indoor Drumline,87.85,26.55,17.7,25.9,17.7
2021,6,PSW,Fishers Indoor Drumline,93.1,28.5,18.6,27.3,18.7
2021,0,PSW,Franklin Central Percussion Symphony,76.65,22.95,15.7,22.9,15.1
2021,1,PSW,Franklin Central Percussion Symphony,81.15,24.75,15.3,24.6,16.5
2021,2,PSW,Franklin Central Percussion Symphony,81.55,24.45,16.1,24.8,16.2
2021,4,PSW,Franklin Central Percussion Symphony,86.75,26.25,17.3,26.0,17.2
2021,5,PSW,Franklin Central Percussion Symphony,88.5,26.7,17.9,26.4,17.5
2021,6,PSW,Franklin Central Percussion Symphony,94.0,29.1,19.3,27.0,18.6
