year,week,class,name,overall score,music effect,visual effect,music,visual
2022,3,PIA,1 Indoor Percussion,61.0,18.3,10.3,20.2,12.2
2022,5,PIA,1 Indoor Percussion,66.6,19.2,12.8,21.1,13.5
2022,7,PIA,1 Indoor Percussion,66.3,19.5,13.0,20.0,13.8
2022,8,PIA,1 Indoor Percussion,75.65,23.25,14.9,22.45,15.05
2022,10,PIA,1 Indoor Percussion,76.8,23.1,15.6,22.45,15.65
2022,2,PIA,Albany Indoor Percussion,62.15,17.9,20.25,12.4,11.6
2022,8,PIA,Albany Indoor Percussion,67.35,18.9,22.05,13.5,12.9
2022,9,PIA,Albany Indoor Percussion,71.8,21.5,21.6,14.2,14.5
2022,10,PIA,Albany Indoor Percussion,75.0,21.9,23.4,14.6,15.1
2022,3,PIA,Alliance Indoor Percussion,62.75,19.95,12.6,18.1,12.1
2022,6,PIA,Alliance Indoor Percussion,68.15,19.65,13.6,20.6,14.3
2022,8,PIA,Alliance Indoor Percussion,71.825,21.825,14.45,21.4,14.15
2022,3,PIA,Ascension Percussion,75.15,22.05,15.7,23.6,13.8
2022,5,PIA,Ascension Percussion,75.65,23.55,13.6,23.2,15.3
2022,8,PIA,Ascension Percussion,82.45,24.15,16.5,24.7,17.1
2022,11,PIA,Ascension Percussion,85.0,25.05,16.85,25.6,17.5
2022,6,PIA,Brazos Valley Independent Percussion,70.9,20.4,13.0,24.3,13.2
2022,8,PIA,Brazos Valley Independent Percussion,77.75,23.55,15.3,23.8,15.1
2022,4,PIA,Central Bucks School District,69.6,24.6,20.7,11.7,12.6
2022,6,PIA,Central Bucks School District,74.0,22.8,21.3,15.3,14.6
2022,8,PIA,Central Bucks School District,80.6,23.3,26.7,16.0,14.6
2022,11,PIA,Central Bucks School District,78.0,23.5,23.4,16.2,14.9
2022,7,PIA,Charles Towne Percussion,78.05,24.15,15.8,22.5,15.6
2022,5,PIA,Conflux Percussion,74.55,22.05,15.0,22.0,15.5
2022,7,PIA,Convergence Indoor Percussion,75.15,21.75,14.9,22.5,16.0
2022,6,PIA,Cornell Indoor Drumline,59.9,18.6,18.0,11.4,11.9
2022,8,PIA,Cornell Indoor Drumline,69.5,21.1,23.1,12.9,12.4
2022,10,PIA,Cornell Indoor Drumline,75.05,23.0,23.85,13.7,14.5
2022,4,PIA,Cornerstone Percussion,70.2,21.3,14.8,20.8,13.3
2022,5,PIA,Cornerstone Percussion,74.85,22.65,14.8,22.5,14.9
2022,8,PIA,Cornerstone Percussion,76.45,22.35,14.7,24.0,15.4
2022,9,PIA,Cornerstone Percussion,85.65,25.65,16.3,26.6,17.1
2022,11,PIA,Cornerstone Percussion,88.7,25.8,19.1,26.6,17.2
2022,12,PIA,Cornerstone Percussion,86.525,26.325,17.25,25.6,17.35
2022,3,PIA,Crystal Lake Thunder,67.6,20.7,14.1,20.3,12.5
2022,4,PIA,Decatur County Greensburg Indoor,65.0,21.6,11.8,18.4,13.2
2022,5,PIA,Decatur County Greensburg Indoor,66.8,21.6,12.4,20.2,12.6
2022,8,PIA,Decatur County Greensburg Indoor,74.45,23.1,14.1,22.25,15.0
2022,10,PIA,Decatur County Greensburg Indoor,73.875,21.975,14.5,22.45,14.95
2022,7,PIA,ECR Independent,71.55,21.15,14.1,22.3,14.0
2022,11,PIA,ECR Independent,85.1,25.5,18.4,24.9,16.3
2022,12,PIA,ECR Independent,84.075,24.525,17.1,25.55,16.9
2022,4,PIA,Fruitport Independent,60.5,17.7,12.4,17.4,13.0
2022,8,PIA,Fruitport Independent,75.45,22.35,15.0,21.7,16.4
2022,11,PIA,Fruitport Independent,72.626,22.125,15.25,20.6,14.65
2022,6,PIA,Fruitport Independent Percussion,71.25,21.75,13.8,21.2,14.5
2022,8,PIA,Groove Pursuit,77.8,23.7,15.3,24.1,14.7
2022,3,PIA,Huron Valley Percussion,70.15,19.65,14.9,22.6,13.0
2022,4,PIA,Huron Valley Percussion,68.45,20.55,14.1,19.8,14.0
2022,7,PIA,Huron Valley Percussion,77.05,23.55,15.5,22.8,15.2
2022,11,PIA,Huron Valley Percussion,80.35,23.85,16.75,23.65,16.1
2022,3,PIA,IGNITE Winter Percussion,63.05,18.75,12.8,18.5,13.0
2022,4,PIA,IGNITE Winter Percussion,70.55,22.95,13.5,19.5,14.6
2022,6,PIA,IGNITE Winter Percussion,73.725,21.825,14.2,22.5,15.2
2022,8,PIA,IGNITE Winter Percussion,79.875,24.675,15.8,23.3,16.1
2022,10,PIA,IGNITE Winter Percussion,81.25,24.45,16.25,24.2,16.35
2022,7,PIA,LINEA,76.7,22.5,13.5,25.1,15.6
2022,3,PIA,Lake Effect Percussion,71.65,20.25,15.1,21.8,14.5
2022,4,PIA,Lake Effect Percussion,70.5,20.4,15.0,20.6,14.5
2022,7,PIA,Lake Effect Percussion,81.1,24.6,16.6,23.6,16.3
2022,11,PIA,Lake Effect Percussion,84.8,25.35,17.8,25.05,16.6
2022,3,PIA,Lincoln-Way Community HS,68.1,19.8,15.0,19.8,13.5
2022,9,PIA,Matrix A,88.1,27.6,18.1,24.4,18.0
2022,13,PIA,Matrix A,95.325,29.025,19.4,28.5,18.4
2022,8,PIA,MidMichigan Impact,72.85,22.05,14.6,21.1,15.1
2022,11,PIA,MidMichigan Impact,76.775,22.725,16.05,23.0,15.0
2022,3,PIA,Modulation Z,78.9,24.3,16.4,21.8,16.4
2022,9,PIA,Nomad Indoor,81.55,25.35,16.9,22.6,16.7
2022,7,PIA,Outer Drive Percussion,76.2,22.5,15.0,23.1,15.6
2022,11,PIA,Outer Drive Percussion,78.45,23.55,14.9,24.4,15.6
2022,2,PIA,Pace Percussion Ensemble,65.9,19.8,12.4,20.7,13.0
2022,5,PIA,Pace Percussion Ensemble,75.25,23.85,14.5,21.7,15.2
2022,9,PIA,Pace Percussion Ensemble,81.65,24.45,16.2,24.5,16.5
2022,11,PIA,Pace Percussion Ensemble,85.45,25.05,18.5,24.2,17.7
2022,12,PIA,Pace Percussion Ensemble,85.8,26.25,17.0,25.9,16.65
2022,6,PIA,Paragould Indoor Percussion,71.4,21.3,13.9,21.3,14.9
2022,10,PIA,Paragould Indoor Percussion,80.4,24.3,15.6,24.2,16.3
2022,7,PIA,Phoenix Union Indoor,75.05,20.85,14.3,25.2,14.7
2022,3,PIA,Pi Percussion Inc.,74.65,23.85,15.5,20.6,14.7
2022,7,PIA,Pinnacle Percussion,76.05,21.15,15.1,24.0,15.8
2022,8,PIA,Quad City Percussion,69.3,22.5,13.2,19.8,13.8
2022,5,PIA,RPT PERCUSSION,65.95,18.75,13.0,20.9,13.3
2022,8,PIA,Rhythm Armada,76.05,22.95,15.1,21.6,16.4
2022,8,PIA,Rochester Lourdes Drumline,69.6,21.3,14.3,20.7,13.3
2022,5,PIA,STRYKE Percussion 2,72.3,21.9,14.3,22.5,13.6
2022,3,PIA,Shockwave,60.75,18.45,12.0,18.3,12.0
2022,8,PIA,St. Ambrose University Indoor Percussion,74.0,20.7,14.8,24.3,14.2
2022,7,PIA,St. Martin Independent,83.05,24.45,16.5,25.4,16.7
2022,13,PIA,St. Martin Independent,92.3,27.825,18.75,27.65,18.075
2022,6,PIA,Station Camp Independent,71.9,22.2,15.2,19.8,14.7
2022,7,PIA,Sun City Independent,81.15,23.55,15.8,25.9,15.9
2022,9,PIA,Tar River Independent Percussion,58.5,16.5,11.1,19.4,11.5
2022,5,PIA,United Percussion 2,73.85,21.75,14.6,22.2,15.3
2022,5,PIA,Vortex Percussion,66.8,19.8,14.2,17.8,15.0
2022,6,PIA,Vortex Percussion,75.55,22.95,14.8,22.5,15.3
2022,8,PIA,Vortex Percussion,76.25,22.95,15.5,22.0,15.8
2022,11,PIA,Vortex Percussion,75.401,22.2,15.7,22.15,15.35
2022,3,PIA,,63.05,18.75,12.8,18.5,13.0
2022,4,PIA,,70.55,22.95,13.5,19.5,14.6
2022,5,PIA,,66.8,21.6,12.4,20.2,12.6
2022,6,PIA,,73.725,21.825,14.2,22.5,15.2
2022,8,PIA,,79.875,24.675,15.8,23.3,16.1
