year,week,class,name,overall score,music effect,visual effect,music,visual
2016,1,PSW,Arcadia HS,83.2,24.0,16.2,26.8,16.2
2016,10,PSW,Arcadia HS,91.675,28.275,18.2,26.9,18.3
2016,1,PSW,Ayala HS,83.95,24.15,16.8,26.5,16.5
2016,5,PSW,Ayala HS,87.9,27.0,18.3,24.9,17.7
2016,6,PSW,Ayala HS,87.6,26.1,18.3,25.7,17.5
2016,9,PSW,Ayala HS,91.95,28.35,18.45,26.85,18.3
2016,10,PSW,Ayala HS,93.875,28.575,19.0,27.65,18.65
2016,0,PSW,Centerville High School Percussion,70.5,21.2,20.4,14.9,14.0
2016,3,PSW,Centerville High School Percussion,72.5,24.7,21.3,13.0,13.5
2016,7,PSW,Centerville High School Percussion,87.9,27.1,27.0,16.0,17.8
2016,9,PSW,Centerville High School Percussion,83.45,25.9,23.25,16.8,17.5
2016,1,PSW,Chino Hills HS,87.55,25.35,17.5,27.4,17.3
2016,6,PSW,Chino Hills HS,90.5,27.6,17.3,27.5,18.1
2016,8,PSW,Chino Hills HS,93.55,28.05,18.5,28.5,18.5
2016,9,PSW,Chino Hills HS,94.4,28.8,18.3,28.4,18.9
2016,10,PSW,Chino Hills HS,95.613,29.062,18.65,28.85,19.05
2016,10,PSW,Clovis HS,84.451,25.95,16.65,25.3,16.55
2016,4,PSW,Diamond Bar HS,77.35,22.95,16.0,23.4,15.0
2016,1,PSW,Eden Prairie High School,81.4,23.3,26.1,14.8,17.2
2016,6,PSW,Eden Prairie High School,86.45,25.6,25.35,17.3,18.2
2016,9,PSW,Eden Prairie High School,91.2,27.7,26.85,17.85,18.8
2016,0,PSW,Lebanon High School,75.45,22.5,21.75,16.6,14.6
2016,3,PSW,Lebanon High School,83.35,25.9,24.15,16.5,16.8
2016,5,PSW,Lebanon High School,82.575,24.6,24.675,16.4,16.9
2016,6,PSW,Lebanon High School,85.7,26.0,25.5,16.9,17.3
2016,9,PSW,Lebanon High School,87.5,26.3,25.2,18.1,17.9
2016,4,PSW,Rowland HS,80.4,24.3,16.6,23.9,15.6
2016,5,PSW,Rowland HS,83.15,26.25,17.2,24.7,15.0
2016,6,PSW,Rowland HS,79.3,24.3,16.0,24.2,14.8
2016,8,PSW,Rowland HS,85.85,26.25,17.4,25.3,16.9
2016,9,PSW,Rowland HS,87.5,26.4,17.2,26.8,17.1
2016,10,PSW,Rowland HS,89.175,26.325,17.6,27.5,17.75
2016,10,PSW,Tulare Western HS,75.851,23.25,14.35,23.65,14.6
2016,1,PSW,Tulare Western Percussion,72.6,24.1,21.0,13.7,13.8
2016,4,PSW,Tulare Western Percussion,75.925,22.7,23.025,14.8,15.4
2016,6,PSW,Tulare Western Percussion,74.95,23.0,22.05,14.7,15.2
