year,week,class,name,overall score,music effect,visual effect,music,visual
2021,0,PIA,Alliance Indoor Percussion,67.3,21.6,12.8,19.4,13.5
2021,1,PIA,Alliance Indoor Percussion,72.05,21.75,13.6,22.6,14.1
2021,2,PIA,Alliance Indoor Percussion,70.25,20.25,14.5,21.2,14.3
2021,3,PIA,Alliance Indoor Percussion,72.1,21.9,13.8,20.9,15.5
2021,4,PIA,Alliance Indoor Percussion,71.45,21.45,14.5,20.4,15.1
2021,5,PIA,Alliance Indoor Percussion,75.45,22.35,15.1,22.3,15.7
2021,6,PIA,Alliance Indoor Percussion,76.15,22.95,15.8,22.2,15.2
2021,0,PIA,IGNITE Winter Percussion,62.55,18.45,12.6,18.7,12.8
2021,3,PIA,IGNITE Winter Percussion,70.55,20.55,14.3,21.6,14.1
2021,4,PIA,IGNITE Winter Percussion,72.6,21.9,15.4,20.8,14.5
2021,5,PIA,IGNITE Winter Percussion,73.85,23.25,16.0,19.8,14.8
2021,6,PIA,IGNITE Winter Percussion,73.75,22.05,14.9,21.2,15.6
2021,0,PIA,,67.3,21.6,12.8,19.4,13.5
2021,1,PIA,,72.05,21.75,13.6,22.6,14.1
2021,2,PIA,,70.25,20.25,14.5,21.2,14.3
2021,3,PIA,,72.1,21.9,13.8,20.9,15.5
2021,4,PIA,,72.6,21.9,15.4,20.8,14.5
2021,5,PIA,,75.45,22.35,15.1,22.3,15.7
2021,6,PIA,,76.15,22.95,15.8,22.2,15.2
