year,week,class,name,overall score,music effect,visual effect,music,visual
2025,5,PIA,357 N. 6th Ave,71.0,21.6,13.8,21.0,14.6
2025,9,PIA,357 N. 6th Ave,78.45,24.75,15.4,23.2,15.1
2025,10,PIA,357 N. 6th Ave,78.4,23.7,15.4,23.9,15.4
2025,3,PIA,Albany,60.4,18.0,18.6,11.9,11.9
2025,5,PIA,Albany,65.45,19.3,19.95,13.8,12.4
2025,6,PIA,Albany,57.9,17.6,16.2,13.5,10.6
2025,9,PIA,Albany,71.95,21.7,21.45,15.4,13.4
2025,10,PIA,Albany,72.5,22.7,20.4,14.6,14.8
2025,7,PIA,Biddeford BlackOut Percussion,73.4,21.6,14.6,22.6,14.6
2025,4,PIA,Borderline Percussion,75.4,22.5,14.6,22.6,15.7
2025,7,PIA,Borderline Percussion,75.2,21.3,16.1,21.4,16.4
2025,10,PIA,Borderline Percussion,82.1,24.3,16.8,24.2,16.8
2025,11,PIA,Borderline Percussion,83.625,25.275,16.65,24.85,16.85
2025,5,PIA,Breakwater Performing Arts,71.0,21.6,13.8,21.0,14.6
2025,7,PIA,Breakwater Performing Arts,75.15,23.55,14.5,22.1,15.0
2025,9,PIA,Breakwater Performing Arts,78.45,24.75,15.4,23.2,15.1
2025,10,PIA,Breakwater Performing Arts,78.4,23.7,15.4,23.9,15.4
2025,11,PIA,Breakwater Performing Arts,77.925,23.325,15.5,23.8,15.3
2025,12,PIA,Breakwater Performing Arts,80.525,24.825,15.95,23.7,16.05
2025,6,PIA,Carolina Storm Indoor Percussion,72.8,21.9,14.4,22.0,14.5
2025,12,PIA,Carolina Storm Indoor Percussion,77.5,23.7,15.35,22.8,15.65
2025,7,PIA,Central Bucks School District,70.0,21.0,22.2,13.2,13.6
2025,8,PIA,Central Bucks School District,75.45,23.3,23.55,14.4,14.2
2025,10,PIA,Central Bucks School District,77.1,25.1,21.3,15.2,15.5
2025,11,PIA,Central Bucks School District,76.35,24.4,21.75,15.0,15.2
2025,6,PIA,Charles Towne Percussion,85.7,25.2,16.8,26.9,16.8
2025,6,PIA,Cornell University,59.4,19.5,16.8,11.7,11.4
2025,8,PIA,Cornell University,65.15,20.4,19.95,12.6,12.2
2025,10,PIA,Cornell University,70.35,21.8,21.15,13.3,14.1
2025,5,PIA,Cornerstone Percussion,74.65,23.25,15.2,21.5,14.7
2025,7,PIA,Cornerstone Percussion,77.05,22.35,15.9,22.5,16.3
2025,8,PIA,Cornerstone Percussion,82.65,25.05,16.6,24.9,16.1
2025,9,PIA,Cornerstone Percussion,79.85,24.45,15.65,23.7,16.05
2025,10,PIA,Cornerstone Percussion,81.55,24.15,15.8,24.3,17.3
2025,11,PIA,Cornerstone Percussion,81.9,24.45,15.9,25.15,16.4
2025,2,PIA,ECR Independent,69.45,22.35,13.4,20.9,12.8
2025,6,PIA,ECR Independent,74.25,22.05,14.9,22.3,15.0
2025,8,PIA,ECR Independent,81.4,25.2,16.3,24.5,15.4
2025,9,PIA,ECR Independent,81.15,25.2,15.75,24.5,15.7
2025,10,PIA,ECR Independent,83.6,24.9,16.9,25.4,16.4
2025,11,PIA,ECR Independent,85.4,25.65,17.3,25.8,16.65
2025,7,PIA,EPIC Indoor Percussion,80.25,23.25,15.6,25.5,15.9
2025,4,PIA,El Ritmo Independent Percussion,71.15,19.2,21.75,14.2,16.0
2025,6,PIA,El Ritmo Independent Percussion,75.7,22.3,21.9,14.9,16.6
2025,8,PIA,El Ritmo Independent Percussion,79.9,23.7,23.7,16.2,16.3
2025,9,PIA,El Ritmo Independent Percussion,83.1,25.2,23.4,17.4,17.1
2025,10,PIA,El Ritmo Independent Percussion,82.25,25.3,24.15,16.6,16.2
2025,6,PIA,Estrella Foothills HS,65.15,19.65,13.4,19.4,12.7
2025,8,PIA,Frederick HS,74.0,21.6,15.1,22.5,14.8
2025,5,PIA,Frontier Percussion,73.5,22.2,14.0,21.5,15.8
2025,6,PIA,Granite Mountain Indoor Percussion,60.7,18.3,12.8,17.2,12.4
2025,4,PIA,Hanford,71.15,19.2,21.75,14.2,16.0
2025,6,PIA,Hanford,75.7,22.3,21.9,14.9,16.6
2025,8,PIA,Hanford,79.9,23.7,23.7,16.2,16.3
2025,9,PIA,Hanford,83.1,25.2,23.4,17.4,17.1
2025,10,PIA,Hanford,82.25,25.3,24.15,16.6,16.2
2025,7,PIA,Horizon Percussion,78.05,22.05,17.2,21.9,16.9
2025,9,PIA,Horizon Percussion,82.7,25.2,16.7,24.2,16.6
2025,6,PIA,IGNITE Winter Percussion,70.4,22.2,14.0,20.6,13.6
2025,6,PIA,Kannapolis Independent,78.9,24.3,15.8,23.6,15.2
