year,week,class,name,overall score,music effect,visual effect,music,visual
2023,5,PSO,Basha HS,74.75,23.85,14.8,21.2,14.9
2023,7,PSO,Basha HS,81.4,24.9,15.9,24.7,15.9
2023,10,PSO,Bellbrook High School Indoor Percussion Ensemble,87.425,27.225,16.8,26.3,17.1
2023,3,PSO,Ben Davis High School,64.8,19.2,12.3,19.8,13.5
2023,5,PSO,Ben Davis High School,71.65,23.25,12.6,21.5,14.3
2023,8,PSO,Ben Davis High School,77.125,23.85,14.65,23.825,14.8
2023,10,PSO,Ben Davis High School,77.85,23.85,15.2,23.2,15.6
2023,7,PSO,Brandon Valley High School,83.25,25.65,16.7,24.0,16.9
2023,6,PSO,Bridgeland HS,84.55,25.35,17.0,25.0,17.2
2023,9,PSO,Bridgeland HS,88.35,26.85,17.8,26.3,17.4
2023,6,PSO,Brownsburg HS,84.1,24.6,17.3,26.2,16.0
2023,13,PSO,Brownsburg HS,96.3,29.175,19.25,28.7,19.175
2023,4,PSO,Brownsburg Percussion,78.4,23.7,14.7,24.1,15.9
2023,5,PSO,Brownsburg Percussion,82.95,25.65,17.0,23.8,16.5
2023,8,PSO,Brownsburg Percussion,86.4,27.15,16.7,25.05,17.5
2023,10,PSO,Brownsburg Percussion,91.425,27.375,18.4,27.9,17.75
2023,9,PSO,Burleson HS,81.7,24.3,17.0,24.5,15.9
2023,3,PSO,Camarillo HS,67.9,19.8,12.9,23.0,12.2
2023,6,PSO,Camarillo HS,75.401,23.4,14.5,22.6,14.9
2023,8,PSO,Camarillo HS,79.751,24.45,15.8,24.1,15.4
2023,12,PSO,Camarillo HS,85.914,25.763,17.0,25.85,17.3
2023,4,PSO,Canyon HS,75.8,23.1,16.1,20.6,16.0
2023,6,PSO,Canyon HS,80.15,25.2,16.3,22.75,15.9
2023,8,PSO,Canyon HS,83.1,25.5,17.2,24.4,16.0
2023,12,PSO,Canyon HS,89.489,26.887,17.3,27.725,17.575
2023,6,PSO,Carroll HS (IN),72.551,22.05,13.9,21.8,14.8
2023,5,PSO,Carroll High School Indoor Percussion Ensemble,73.2,24.3,13.3,21.2,14.4
2023,7,PSO,Carroll High School Indoor Percussion Ensemble,77.85,23.25,15.5,23.9,15.2
2023,8,PSO,Carroll High School Indoor Percussion Ensemble,77.775,24.45,15.85,22.35,15.125
2023,10,PSO,Carroll High School Indoor Percussion Ensemble,79.726,24.375,15.9,22.5,16.95
2023,9,PSO,Casa Grande HS,77.651,23.25,15.8,23.6,15.0
2023,8,PSO,Central Crossing HS,77.05,23.55,15.3,23.5,14.7
2023,7,PSO,Central Crossing HS Indoor Percussion Ensemble,76.65,23.55,14.8,22.7,15.6
2023,8,PSO,Central Dauphin HS,80.001,23.7,16.2,23.9,16.2
2023,10,PSO,Central Lafourche H.S.,86.65,26.0,27.45,16.4,16.8
2023,7,PSO,Central Lafourche HS,75.3,22.5,15.6,23.0,14.2
2023,8,PSO,Cerritos HS,83.15,25.05,17.5,24.4,16.2
2023,12,PSO,Cerritos HS,87.901,26.475,16.75,26.6,18.075
2023,8,PSO,Chattahoochee HS,80.25,26.55,17.5,21.5,14.7
2023,6,PSO,Chino HS,78.225,24.825,15.4,23.8,14.2
2023,8,PSO,Chino HS,81.4,24.3,16.0,25.5,15.6
2023,12,PSO,Chino HS,92.45,28.2,18.45,27.2,18.6
2023,6,PSO,Clear Brook HS,88.0,26.4,17.8,25.8,18.0
2023,6,PSO,Clover HS,83.35,25.35,16.4,25.6,16.0
2023,13,PSO,Clover HS,97.863,29.512,19.7,29.425,19.225
2023,9,PSO,Clovis West HS,86.35,25.05,18.0,25.7,17.6
2023,8,PSO,Collins Hill HS,74.601,22.2,15.8,22.4,14.2
2023,6,PSO,Cypress Park HS,85.2,25.2,16.7,24.9,18.4
2023,6,PSO,Cypress Ranch HS,82.05,24.15,16.2,24.7,17.0
2023,4,PSO,Davis HS,66.65,18.8,19.8,14.45,13.6
