year,week,class,name,overall score,music effect,visual effect,music,visual
2023,3,PIA,1 Indoor Percussion,63.3,18.3,13.0,19.2,12.8
2023,4,PIA,1 Indoor Percussion,65.5,20.4,13.3,18.2,13.6
2023,5,PIA,1 Indoor Percussion,68.55,22.05,13.4,19.5,13.6
2023,7,PIA,1 Indoor Percussion,69.4,21.9,13.6,20.5,13.4
2023,8,PIA,1 Indoor Percussion,68.4,20.7,14.0,19.8,13.9
2023,10,PIA,1 Indoor Percussion,74.9,22.05,14.8,22.85,15.2
2023,2,PIA,Albany,59.3,18.1,18.0,11.9,11.3
2023,3,PIA,Albany,62.65,18.6,19.05,12.4,12.6
2023,10,PIA,Albany,71.45,24.5,19.05,13.7,14.2
2023,8,PIA,Albany Indoor Percussion Ensemble,73.05,22.35,15.6,20.6,14.5
2023,3,PIA,Ascension Percussion,70.75,21.15,12.7,22.7,14.2
2023,5,PIA,Ascension Percussion,73.9,21.9,14.7,23.0,14.3
2023,7,PIA,Buckhorn Indoor Percussion,85.5,26.7,17.4,24.6,16.8
2023,5,PIA,Central Bucks School District,67.45,20.6,19.05,14.2,13.6
2023,7,PIA,Central Bucks School District,69.3,20.1,21.3,13.7,14.2
2023,10,PIA,Central Bucks School District,71.5,21.5,21.0,14.5,14.5
2023,6,PIA,Charles Towne Percussion,77.25,22.95,14.9,24.3,15.1
2023,5,PIA,Conflux Percussion,69.5,21.3,14.2,20.4,13.6
2023,7,PIA,Convergence Indoor Percussion,68.9,21.0,13.0,22.4,12.5
2023,8,PIA,Cornell University,64.65,20.6,19.65,12.2,12.2
2023,9,PIA,Cornell University,69.05,22.5,20.85,13.0,12.7
2023,10,PIA,Cornell University,73.45,25.0,20.55,14.3,13.6
2023,3,PIA,Cornerstone Percussion,68.9,19.5,14.4,20.5,14.5
2023,5,PIA,Cornerstone Percussion,75.6,23.7,15.1,21.8,15.0
2023,7,PIA,Cornerstone Percussion,75.65,22.05,15.2,23.4,15.0
2023,8,PIA,Cornerstone Percussion,74.0,23.4,14.0,22.1,14.5
2023,9,PIA,Cornerstone Percussion,77.45,22.65,17.2,22.9,14.7
2023,11,PIA,Cornerstone Percussion,78.4,23.7,15.6,23.6,15.5
2023,7,PIA,Creekside Independent,86.1,27.0,17.9,24.1,17.1
2023,6,PIA,Crystal Lake Thunder,74.85,22.65,14.9,23.6,13.7
2023,13,PIA,Crystal Lake Thunder,86.064,26.062,16.7,26.75,16.55
2023,7,PIA,DV Indoor Percussion,78.75,22.05,17.8,23.4,15.5
2023,3,PIA,ECR Independent,69.7,20.7,15.0,20.0,14.0
2023,6,PIA,ECR Independent,73.25,23.55,14.4,20.5,14.8
2023,11,PIA,ECR Independent,81.9,24.6,16.3,24.7,16.3
