year,week,class,name,overall score,music effect,visual effect,music,visual
2018,4,PRA,Abington,77.65,22.8,24.45,15.5,14.9
2018,5,PRA,Abington,75.5,22.4,23.7,14.1,15.3
2018,9,IA,Absolute Winterguard,73.55,15.34,13.61,15.4,14.6
2018,9,PSA,Acadiana H.S.,85.05,26.3,26.4,14.9,17.45
2018,5,IW,Acadiana Independent,51.2,12.4,5.8,11.6,11.3
2018,7,IW,Acadiana Independent,54.9,10.7,11.4,12.1,9.2
2018,8,IW,Acadiana Independent,53.7,10.8,10.5,11.4,10.3
2018,9,IW,Acadiana Independent,55.1,11.6,11.0,10.5,10.9
2018,5,SRA,Ada Junior High Winter Guard,72.34,14.87,12.47,14.1,16.2
2018,5,PIA,Aftermath,68.75,20.0,22.35,12.8,13.6
2018,12,PIA,Aftermath,75.6,21.9,22.2,15.2,16.3
2018,3,PSA,Albany Indoor Percussion,61.3,17.6,18.6,12.7,12.4
2018,7,PSA,Albany Indoor Percussion,65.051,19.2,18.75,13.4,13.7
2018,10,PSA,Albany Indoor Percussion,69.451,20.2,21.45,13.5,14.3
2018,11,PSA,Albany Indoor Percussion,70.901,20.6,21.9,13.3,15.1
2018,6,N,Alcoa High School Winterguard,58.82,11.54,12.88,11.6,12.2
2018,4,PSA,Aliso Niguel HS,75.576,22.575,15.6,23.1,14.3
2018,6,B1,Aliso Niguel HS,74.201,21.3,13.8,24.2,14.9
2018,7,R2,Aliso Niguel HS,79.2,24.6,16.0,22.3,16.3
2018,10,R3,Aliso Niguel HS,88.301,26.25,18.4,26.1,17.55
2018,11,R1,Aliso Niguel HS,82.701,24.45,16.1,25.55,16.6
2018,2,PJHSA,Alpine Vista MS Percussion,51.15,18.4,14.85,9.1,8.8
2018,7,PJHSA,Alpine Vista MS Percussion,59.8,20.7,19.8,9.7,9.6
2018,11,PJHSA,Alpine Vista MS Percussion,71.451,23.8,21.45,12.6,13.6
2018,12,PSA,Alta HS,75.35,22.3,22.65,14.7,15.7
2018,2,SA,Alter High School Winterguard,65.02,13.88,13.54,11.9,13.2
2018,4,SA,Alter High School Winterguard,65.61,12.07,10.94,14.1,14.7
2018,5,SA,Alter High School Winterguard,71.721,14.61,14.21,14.5,13.6
2018,6,SA,Alter High School Winterguard,73.9,14.42,14.28,15.4,14.9
2018,7,SA,Alter High School Winterguard,75.681,15.54,14.74,15.5,14.9
2018,11,SA,Alter High School Winterguard,77.951,15.67,16.28,16.0,14.5
2018,4,PSJ,Alvarado IS,75.05,22.95,16.0,20.6,15.5
2018,6,PSJ,Alvarado IS,74.05,21.45,13.5,24.1,15.0
2018,8,PSJ,Alvarado IS,84.45,24.75,17.0,25.5,17.2
2018,11,PSJ,Alvarado IS,91.738,27.038,18.65,27.25,18.8
2018,5,SRA,Anderson County High School,69.85,14.54,13.21,14.2,13.7
2018,6,SRA,Anderson County High School,70.461,15.08,13.88,14.9,12.7
2018,9,R2,Anderson High School,78.126,36.6,40.4,40.6,38.65
2018,4,PSB,Angola Indoor Percussion,60.7,18.6,13.3,16.3,12.5
